Topic ID: D1410_TRAIN | Citance Number: 1 | Reference Article:  Wang,Tang.txt | Citing Article:  Chen,Umelo.txt | Citation Marker Offset:  28028-28030 | Citation Marker:  11 | Citation Offset:  27952-28031 | Citation Text:  The up-regulation of miR-146a was also detected in cervical cancer tissues [11] | Reference Offset:  ['15542-15717', '17277-17486', '19423-19639'] | Reference Text:  Considering a 6-fold increase of miR-146a expression in cervical cancer tissues, we hypothesized that a high level of miR-146a might play a role in cervical cancer cell growth ... However, a high level of miR-146a expression was found to be cervical cancer-specific since its expression was down-regulated both in normal tissues and in HPV-infected raft tissues with pre-neoplastic lesions ... Thus, we conclude that upregulation of miR-146a expression in cervical cancer is beneficial for cancer growth as introduction of miR-146a into cancer cells increased cell doubling time and promoted cell proliferation | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1410_TRAIN | Citance Number: 7 | Reference Article:  Wang,Tang.txt | Citing Article:  Liu,Wang.txt | Citation Marker Offset:  2978-2979 | Citation Marker:  8 | Citation Offset:  2912-3092 | Citation Text:  Up-regulation of miR-24 has been observed in a number of cancers [8, 9], including OSCC [10]. The up-regulation of miR-24 appears to be associated with the progression of OSCC [10] | Reference Offset:  ['5602-5791', '12247-12530'] | Reference Text:  Overall, we cloned a total of 174 miRNAs from 363 cDNA clones which were categorized into 46 different miRNA species (Table 1), with miR-21, miR-24, miR-27a, and miR-205 being most abundant ... Three miRNAs abundantly expressed only in monolayer cultures (miR-24, miR-29a, and miR-221) and 11 miRNAs abundantly expressed only in the stratified and differentiated raft cultures (miR-27a, miR-27b, miR-200b, miR-200c, miR-203, miR-638, let-7a, let-7b, let-7d, let-7e, and let-7g) | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1410_TRAIN | Citance Number: 8 | Reference Article:  Wang,Tang.txt | Citing Article:  Patron.txt | Citation Marker Offset:  26079-26081 | Citation Marker:  52 | Citation Offset:  25896-26082 | Citation Text:  One study reports upregulation of this miR as revealed by qRT-PCR whereas a sequencing approach and microarray analysis point to a repression of miR-133b in tumor tissue [22], [51], [52] | Reference Offset:  ['5602-5791', '9687-10279', '12028-12245'] | Reference Text:  Overall, we cloned a total of 174 miRNAs from 363 cDNA clones which were categorized into 46 different miRNA species (Table 1), with miR-21, miR-24, miR-27a, and miR-205 being most abundant ... An expression abundance analysis, based on a signal density ≥ 20,000, showed that both normal and cancerous cervical tissues had abundant expression of miR-23a, miR-23b, let-7a, let-7c, and let-7d, whereas high expression of miR-26a, miR-29a, miR-99a, miR-100, miR-125b, miR-143, miR-145, miR195, and miR-199a was only observed in normal cervical tissues, and high expression of miR-16, miR-21, miR-205, and let-7f was only observed in cervical cancer tissues, despite that relatively low levels of miR-16 and miR-21 were noticed from a homogeneous cell population in some cell lines (Fig. 2B) ... An expression abundance analysis, based on a signal density ≥ 20,000, showed that miR-21, miR-23a, miR-23b, miR-26a, miR-205, let-7c, and let-7f abundantly expressed in HVKs both in monolayer cultures and raft cultures | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1410_TRAIN | Citance Number: 9 | Reference Article:  Wang,Tang.txt | Citing Article:  Perry.txt | Citation Marker Offset:  4529-4531 | Citation Marker:  29 | Citation Offset:  4292-4646 | Citation Text:  Changes in miR-146a and miR-146b expression and/or binding have also been implicated in the metastatic and proliferative response associated with the development of papillary thyroid carcinoma (PTC) [26], [27] and [28], cervical cancer [29], ovarian cancer [30], breast cancer [30], [31] and [32], pancreatic cancer [31] and prostate cancer [31] and [33] | Reference Offset:  ['16409-16708', '19423-19639'] | Reference Text:  By calculation of the cell counts from each group, we demonstrated that both HeLa cells and HCT116 cells containing miR-146a had a doubling time 2ñ3 hrs faster than that of the cells with miR-controls (Fig. 7C and 7D). This data suggests that miR-146a functions as a growth factor in cervical cancer ... Thus, we conclude that upregulation of miR-146a expression in cervical cancer is beneficial for cancer growth as introduction of miR-146a into cancer cells increased cell doubling time and promoted cell proliferation | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1410_TRAIN | Citance Number: 10 | Reference Article:  Wang,Tang.txt | Citing Article:  Qin.txt | Citation Marker Offset:  13836-13838 | Citation Marker:  41 | Citation Offset:  13755-13901 | Citation Text:  In addition, miR-24 is one of the most abundant miRNAs in cervical cancer cells [41], and is reportedly up-regulated in solid stomach cancers [42] | Reference Offset:  ['5602-5791', '12247-12530'] | Reference Text:  Overall, we cloned a total of 174 miRNAs from 363 cDNA clones which were categorized into 46 different miRNA species (Table 1), with miR-21, miR-24, miR-27a, and miR-205 being most abundant ... Three miRNAs abundantly expressed only in monolayer cultures (miR-24, miR-29a, and miR-221) and 11 miRNAs abundantly expressed only in the stratified and differentiated raft cultures (miR-27a, miR-27b, miR-200b, miR-200c, miR-203, miR-638, let-7a, let-7b, let-7d, let-7e, and let-7g) | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1410_TRAIN | Citance Number: 11 | Reference Article:  Wang,Tang.txt | Citing Article:  Saito.txt | Citation Marker Offset:  2556-2557 | Citation Marker:  6 | Citation Offset:  2381-2558 | Citation Text:  Subsequent reports showed that miR-126 targeted the oncogene IRS-1 (insulin receptor substrate-1) in breast cancer cells [5] and miR-126 was downregulated in cervical cancer [6] | Reference Offset:  ['10706-10985'] | Reference Text:  We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1410_TRAIN | Citance Number: 12 | Reference Article:  Wang,Tang.txt | Citing Article:  Schrauder.txt | Citation Marker Offset:  4611-4620 | Citation Marker:  [12]–[17] | Citation Offset:  4298-4620 | Citation Text:  Whether miRNAs act mainly as tumor suppressors (suppressor-miRs), promotors of tumorigenesis (onco-miRs) or both is still widely elusive, but the global decrease in miRNA expression in human cancers suggests that most miRNAs may act as direct suppressor-miRs or post-transcriptional repressors of known oncogenes [12]–[17] | Reference Offset:  ['3079-3338', '4493-4750', '4752-4909'] | Reference Text:  miRNAs are regulatory, non-coding RNAs about 21ñ23 nucleotides in length and are expressed at specific stages of tissue development or cell differentiation, and have large-scale effects on the expression of a variety of genes at the post-transcriptional level ... Although their biological functions remain largely unknown, recent studies suggest that miRNAs contribute to the development of various cancers [19] and might function as an important component of the cell's natural defense against viral infection [20]ñ[22] ... It has been proposed that an unique miRNA expression profile for a particular cancer would be a useful biomarker for cancer diagnosis [23] and prognosis [24] | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1410_TRAIN | Citance Number: 13 | Reference Article:  Wang,Tang.txt | Citing Article:  Sun,Bai.txt | Citation Marker Offset:  3741-3743 | Citation Marker:  12 | Citation Offset:  3579-3744 | Citation Text:  Recently, miR-126 was identified as a metastasis suppressing miRNA that is downregulated in relapsing breast cancer, leukemia, and cervical cancer [6], [10] and [12] | Reference Offset:  ['10706-10985'] | Reference Text:  We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1410_TRAIN | Citance Number: 14 | Reference Article:  Wang,Tang.txt | Citing Article:  Xie.txt | Citation Marker Offset:  10496-10497 | Citation Marker:  8 | Citation Offset:  10196-10498 | Citation Text:  To verify the efficiency of Ago2 IP, we quantified the expression levels of miR-21 and miR-30a-5p using qRT-PCR. These miRNAs were used as internal controls to evaluate the enrichment of miRNAs after CLIP because of their previously reported high expression levels in both HeLa and CaSki cells [5], [8] | Reference Offset:  ['5602-5791', '12028-12245', '22930-23245'] | Reference Text:  Overall, we cloned a total of 174 miRNAs from 363 cDNA clones which were categorized into 46 different miRNA species (Table 1), with miR-21, miR-24, miR-27a, and miR-205 being most abundant ... An expression abundance analysis, based on a signal density ≥ 20,000, showed that miR-21, miR-23a, miR-23b, miR-26a, miR-205, let-7c, and let-7f abundantly expressed in HVKs both in monolayer cultures and raft cultures ... This was reflected in the miR-21 and miR-205 isolated in this study. We found that more than 68% of the miR-21 isolated from CaSki cells had an additional C at the 3' end and 33% of the miR-205 isolated contained an extra U at the 3' end, but no extra nucleotide was ever identified from the 5' ends of either miRNA | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1410_TRAIN | Citance Number: 15 | Reference Article:  Wang,Tang.txt | Citing Article:  Xie.txt | Citation Marker Offset:  15857-15858 | Citation Marker:  8 | Citation Offset:  15578-15859 | Citation Text:  Here, we first confirmed by qRT-PCR that miR-205 is significantly overexpressed in cervical cancer samples as compared to their normal counterparts. The result is in agreement with our previous sequencing based findings [9], and with the microarray data reported by Wang et al. [8] | Reference Offset:  ['5602-5791', '9574-10279'] | Reference Text:  Overall, we cloned a total of 174 miRNAs from 363 cDNA clones which were categorized into 46 different miRNA species (Table 1), with miR-21, miR-24, miR-27a, and miR-205 being most abundant ... Only four sample pairs qualified for the final clustering analysis as determined by sample consistency analyses. An expression abundance analysis, based on a signal density ≥ 20,000, showed that both normal and cancerous cervical tissues had abundant expression of miR-23a, miR-23b, let-7a, let-7c, and let-7d, whereas high expression of miR-26a, miR-29a, miR-99a, miR-100, miR-125b, miR-143, miR-145, miR195, and miR-199a was only observed in normal cervical tissues, and high expression of miR-16, miR-21, miR-205, and let-7f was only observed in cervical cancer tissues, despite that relatively low levels of miR-16 and miR-21 were noticed from a homogeneous cell population in some cell lines (Fig. 2B) | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1410_TRAIN | Citance Number: 16 | Reference Article:  Wang,Tang.txt | Citing Article:  Xie.txt | Citation Marker Offset:  3351-3352 | Citation Marker:  8 | Citation Offset:  3214-3365 | Citation Text:  Among them, miR-143, miR-145 and miR-34a have been shown to inhibit cell proliferation, and miR-146a and miR-21 to increase cell growth [8], [10], [11] | Reference Offset:  ['14733-15093', '15271-15387', '16409-16708'] | Reference Text:  To address this question, synthetic miR-143 and miR-145 precursors were transiently transfected into HeLa cells and the effect of overexpression of their mature miRNAs on HeLa cell growth was evaluated by cell counting. As shown in Fig. 6, both miR-143 and miR-145 were found suppressive (p<0.005 for miR-143 and p<0.008 of miR-145, t-test) to HeLa cell growth ... Data suggest that both miR-143 and miR-145 probably need to be downregulated in cervical cells for tumor progression ... By calculation of the cell counts from each group, we demonstrated that both HeLa cells and HCT116 cells containing miR-146a had a doubling time 2ñ3 hrs faster than that of the cells with miR-controls (Fig. 7C and 7D). This data suggests that miR-146a functions as a growth factor in cervical cancer | Discourse Facet:  Results_Citation | Annotator:  H, |

