Topic ID: D1410_TRAIN | Citance Number: 1 | Reference Article:  Wang,Tang.txt | Citing Article:  Chen,Umelo.txt | Citation Marker Offset:  28028-28030 | Citation Marker:  11 | Citation Offset:  27952-28031 | Citation Text:  The up-regulation of miR-146a was also detected in cervical cancer tissues [11] | Reference Offset:  ['10706-10985', '13685-13955'] | Reference Text:  We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression ... However, downregulation of miR-146a was noticed in the raft cultures rather than the upregulation seen in cervical cancer tissues and was further confirmed by northern blotting (Fig. 5), indicating that the upregulation of miR-146a expression is cervical cancer-specific | Discourse Facet:  Results_Citation | Annotator:  G, |
Topic ID: D1410_TRAIN | Citance Number: 10 | Reference Article:  Wang,Tang.txt | Citing Article:  Qin.txt | Citation Marker Offset:  13836-13838 | Citation Marker:  41 | Citation Offset:  13755-13901 | Citation Text:  In addition, miR-24 is one of the most abundant miRNAs in cervical cancer cells [41], and is reportedly up-regulated in solid stomach cancers [42] | Reference Offset:  ['12247-12530'] | Reference Text:  Three miRNAs abundantly expressed only in monolayer cultures (miR-24, miR-29a, and miR-221) and 11 miRNAs abundantly expressed only in the stratified and differentiated raft cultures (miR-27a, miR-27b, miR-200b, miR-200c, miR-203, miR-638, let-7a, let-7b, let-7d, let-7e, and let-7g) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1410_TRAIN | Citance Number: 11 | Reference Article:  Wang,Tang.txt | Citing Article:  Saito.txt | Citation Marker Offset:  2556-2557 | Citation Marker:  6 | Citation Offset:  2381-2558 | Citation Text:  Subsequent reports showed that miR-126 targeted the oncogene IRS-1 (insulin receptor substrate-1) in breast cancer cells [5] and miR-126 was downregulated in cervical cancer [6] | Reference Offset:  ['10706-10985'] | Reference Text:  We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1410_TRAIN | Citance Number: 12 | Reference Article:  Wang,Tang.txt | Citing Article:  Schrauder.txt | Citation Marker Offset:  4611-4620 | Citation Marker:  [12]–[17] | Citation Offset:  4298-4620 | Citation Text:  Whether miRNAs act mainly as tumor suppressors (suppressor-miRs), promotors of tumorigenesis (onco-miRs) or both is still widely elusive, but the global decrease in miRNA expression in human cancers suggests that most miRNAs may act as direct suppressor-miRs or post-transcriptional repressors of known oncogenes [12]–[17] | Reference Offset:  ['16945-17275', '18204-18351', '21718-21820'] | Reference Text:  Although both cervical cancer tissues and HPV-infected raft tissues with pre-neoplastic lesions showed an upregulation of miR-15a and miR-223 and downregulation of miR-143, miR-145, miR-218, and miR-424, the majority of the miRNA expression showed no correlation between the two tissues and might delineate the disease progression ... Inhibition by miR-143 and miR-145 of HeLa cell growth implies that miR-143 and miR-145 probably need to be downregulated in order for cancer growth ... In this report, 18 miRNAs were upregulated and 15 miRNAs were downregulated in cervical cancer tissues | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1410_TRAIN | Citance Number: 13 | Reference Article:  Wang,Tang.txt | Citing Article:  Sun,Bai.txt | Citation Marker Offset:  3741-3743 | Citation Marker:  12 | Citation Offset:  3579-3744 | Citation Text:  Recently, miR-126 was identified as a metastasis suppressing miRNA that is downregulated in relapsing breast cancer, leukemia, and cervical cancer [6], [10] and [12] | Reference Offset:  ['10706-10985'] | Reference Text:  We were able to confirm that the cancer tissues had reduced expression of miR-126 and miR-424, and increased expression of miR-15b, miR-16, miR-146a, miR-155, and miR-223 (Fig. 3B and 3C), after individual miRNA level in each sample was quantified and normalized to U6 expression | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1410_TRAIN | Citance Number: 14 | Reference Article:  Wang,Tang.txt | Citing Article:  Xie.txt | Citation Marker Offset:  10496-10497 | Citation Marker:  8 | Citation Offset:  10309-10498 | Citation Text:  These miRNAs were used as internal controls to evaluate the enrichment of miRNAs after CLIP because of their previously reported high expression levels in both HeLa and CaSki cells [5], [8] | Reference Offset:  ['9687-10279'] | Reference Text:  An expression abundance analysis, based on a signal density ≥20,000, showed that both normal and cancerous cervical tissues had abundant expression of miR-23a, miR-23b, let-7a, let-7c, and let-7d, whereas high expression of miR-26a, miR-29a, miR-99a, miR-100, miR-125b, miR-143, miR-145, miR195, and miR-199a was only observed in normal cervical tissues, and high expression of miR-16, miR-21, miR-205, and let-7f was only observed in cervical cancer tissues, despite that relatively low levels of miR-16 and miR-21 were noticed from a homogeneous cell population in some cell lines (Fig. 2B) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1410_TRAIN | Citance Number: 15 | Reference Article:  Wang,Tang.txt | Citing Article:  Xie.txt | Citation Marker Offset:  15857-15858 | Citation Marker:  8 | Citation Offset:  15727-15859 | Citation Text:  The result is in agreement with our previous sequencing based findings [9], and with the microarray data reported by Wang et al. [8] | Reference Offset:  ['8116-8323'] | Reference Text:  In contrast, the cervical cancer tissue and the cell lines, except SiHa (HPV16+), HeLa (HPV18+), and C33A cells (HPV-), had increased expression of miR-205 when compared with normal cervical tissue (Fig. 2B) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1410_TRAIN | Citance Number: 16 | Reference Article:  Wang,Tang.txt | Citing Article:  Xie.txt | Citation Marker Offset:  3351-3352 | Citation Marker:  8 | Citation Offset:  3214-3365 | Citation Text:  Among them, miR-143, miR-145 and miR-34a have been shown to inhibit cell proliferation, and miR-146a and miR-21 to increase cell growth [8], [10], [11] | Reference Offset:  ['16238-16407', '15271-15387'] | Reference Text:  Data suggest that both miR-143 and miR-145 probably need to be downregulated in cervical cells for tumor progression ... A slow, but significantly enhanced cell proliferation of both HeLa (p<0.009, t-test) and HCT116 (P<0.019, t-test) cells was noticed in the presence of exogenous miR-146a | Discourse Facet:  Results_Citation | Annotator:  G, |

