Topic ID: D1407_TRAIN | Citance Number: 1 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  2251-2252 | Citation Marker:  8 | Citation Offset:  2147-2253 | Citation Text:  LATS2, it has been reported that LATS2 induces G2/M arrest and subsequent apoptotic cell death [7] and [8] | Reference Offset:  ['43662-43841'] | Reference Text:  Taken together, our data suggest that Lats2 is a novel centrosome-associated kinase that may be involved in regulating the centrosome and/or mitotic spindle downstream of Aurora-A | Discourse Facet:  Implication_Citation | Annotator:  G, |
Topic ID: D1407_TRAIN | Citance Number: 8 | Reference Article:  Toji.txt | Citing Article:  Dvash.txt | Citation Marker Offset:  40274-40276 | Citation Marker:  65 | Citation Offset:  40162-40299 | Citation Text:  Taking into consideration the role that DBF2 homologs have been shown to play in cell cycle progression (4, 62, 65,–68), this is expected | Reference Offset:  ['8395-8518'] | Reference Text:  These observations suggest that Lats kinases act as tumour suppressors by inhibition of cell cycle progression or apoptosis | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1407_TRAIN | Citance Number: 9 | Reference Article:  Toji.txt | Citing Article:  Hergovich.txt | Citation Marker Offset:  32241-32243 | Citation Marker:  97 | Citation Offset:  32023-32244 | Citation Text:  In yeast, Dbf2p and Sid2p reside on the SPB and at the cell division site (summarized in [4]), and in mammals, LATS1 and LATS2 have been detected on interphase and mitotic centrosomes [45], [93], [94], [95], [96] and [97] | Reference Offset:  ['11016-11174', '27361-27668'] | Reference Text:  This G1/S-phosphorylated band was also observed during interphase (Fig. 1A; 0, 1.5, 3, 10 and 12 h), indicating that Lats2 is phosphorylated during interphase ... Together with the previous reports that Aurora-A is localized to the interphase and mitotic centrosomes as well as to the spindle poles (Bischoff et al. 1998; Zhou et al. 1998), these results indicate that Lats2 co-localizes with Aurora-A at the centrosomes during interphase, early prophase and cytokinesis | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1407_TRAIN | Citance Number: 10 | Reference Article:  Toji.txt | Citing Article:  Lai.txt | Citation Marker Offset:  39302-39319 | Citation Marker:  Toji et al., 2004 | Citation Offset:  39148-39320 | Citation Text:  Third, human Wts2 is a phosphorylation target of Aurora-A kinase, and this phosphorylation plays a role in regulating centrosomal localization of hWts2 ( Toji et al., 2004) | Reference Offset:  ['8832-8940'] | Reference Text:  We also show that the Aurora-A-induced phosphorylation on Lats2 plays a role in its centrosomal localization | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1407_TRAIN | Citance Number: 11 | Reference Article:  Toji.txt | Citing Article:  Mahen.txt | Citation Marker Offset:  7328-7330 | Citation Marker:  22 | Citation Offset:  7162-7379 | Citation Text:  Similarly to PLK1, Aurora-A activity is required for the enrichment or localisation of multiple centrosomal factors which have roles in maturation, including LATS2 [ 22] and CDK5RAP2/Cnn [ 23] (see [ 10] for a review) | Reference Offset:  ['33715-33835', '39428-39688'] | Reference Text:  These results indicate that the non-phosphorylation of the Ser 83 residue disturbs the centrosomal localization of Lats2 ... Because the phosphorylation of S83 on Lats2 is one of requirements for centrosomal localization of Lats2 in this issue, Aurora-A may also promote the recruitment of Lats2 to centrosomes as well as Cyclin B1/Cdc2 complex and D-TACC for the centrosome maturation | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1407_TRAIN | Citance Number: 12 | Reference Article:  Toji.txt | Citing Article:  Vader.txt | Citation Marker Offset:  14521-14523 | Citation Marker:  47 | Citation Offset:  14391-14565 | Citation Text:  Aurora-A is required for the correct localisation and function of centrosomal components like centrosomin [45], NDEL1 [46], LATS [47] and [48] and TACC proteins [49] and [50] | Reference Offset:  ['33715-33835', '39428-39688'] | Reference Text:  These results indicate that the non-phosphorylation of the Ser 83 residue disturbs the centrosomal localization of Lats2 ... Because the phosphorylation of S83 on Lats2 is one of requirements for centrosomal localization of Lats2 in this issue, Aurora-A may also promote the recruitment of Lats2 to centrosomes as well as Cyclin B1/Cdc2 complex and D-TACC for the centrosome maturation | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1407_TRAIN | Citance Number: 13 | Reference Article:  Toji.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  30300-30317 | Citation Marker:  Toji et al., 2004 | Citation Offset:  30097-30318 | Citation Text:  Additionally, loss of LATS2 stimulated reduplication, an activity comparable to that observed when Cyclin E is overexpressed in the absence of p53 (Fukasawa et al., 1996, Tarapore and Fukasawa, 2002 and Toji et al., 2004) | Reference Offset:  ['48324-48454', '48726-48835'] | Reference Text:  The generation and specificity of the 3D10 anti-human Lats2 monoclonal antibody has been previously described (Yabuta et al. 2000) ... Anti-HA polyclonal, anti-Cyclin B, anti-Myc and anti-GST monoclonal antibodies were obtained from MBL Co. Ltd | Discourse Facet:  Method_Citation | Annotator:  G, |

Topic ID: D1407_TRAIN | Citance Number: 14 | Reference Article:  Toji.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  44624-44641 | Citation Marker:  Toji et al., 2004 | Citation Offset:  44490-44642 | Citation Text:  Antibodies used were DO-1 (p53), F5 (p21cip1), F235 (RAS), M20 (cyclin E), M2 (CDK2) from Santa Cruz Biotechnology, and 3D10 (LATS2) (Toji et al., 2004) | Reference Offset:  ['38830-39219'] | Reference Text:  Although Lats2 localized to the centrosome before its duplication in early S phase, it is not possible that Lats2 is involved in the regulation of centrosomal duplication, because we could also observe two close spots of γ-tubulin, as well as typical and normal duplications of the centrosome, in HeLa cells in which the wild-type or the S83 mutants of Lats2 was over-expressed ectopically | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1407_TRAIN | Citance Number: 15 | Reference Article:  Toji.txt | Citing Article:  Zhang,Hu.txt | Citation Marker Offset:  13139-13141 | Citation Marker:  27 | Citation Offset:  13086-13195 | Citation Text:  The plasmids for pCMVmyc-LATS2, described elsewhere [27], were a gift of Dr Hiroshi Nojima (Osaka University) | Reference Offset:  ['45132-45283', '45285-45393'] | Reference Text:  To construct the pCMVmyc-Lats2 full plasmid, we prepared BamHI-XcmI fragments by polymerase chain reaction (PCR) using the isolated clone as a template ... These fragments were inserted into the BamHI and XcmI sites of the pCMV-HsLATS2 plasmid (Yabuta et al. 2000) | Discourse Facet:  Method_Citation | Annotator:  G, |

