Topic ID: D1407_TRAIN | Citance Number: 1 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  2251-2252 | Citation Marker:  8 | Citation Offset:  2131-2253 | Citation Text:  With respect to LATS2, it has been reported that LATS2 induces G2/M arrest and subsequent apoptotic cell death [7] and [8] | Reference Offset:  ['7291-7557', '7963-8671'] | Reference Text:  Enhanced expression of LATS1 in human tumour cell lines caused cell cycle arrest at G2/M through inhibition of Cdc2 kinase activity or induced apoptosis by up-regulating the level of pro-apoptotic proteins such as Bax or Caspase-3 (Yang et al. 2001; Xia et al. 2002) ... Over-expression of human Lats2/Kpm in HeLa cells has also shown to cause G2/M arrest through inhibition of Cdc2 kinase activity and to induce apoptosis (Hori et al. 2000; Kamikubo et al. 2003), whereas over-expression of mouse Lats2 in v-ras-transformed NIH3T3 cells has shown to inhibit G1/S transition through down-regulation of Cyclin E/Cdk2 kinase activity and to suppress tumorigenicity of NIH3T3/v-ras cells (Li et al. 2003). These observations suggest that Lats kinases act as tumour suppressors by inhibition of cell cycle progression or apoptosis. Although Lats1 was recently found to be phosphorylated by Cdc2 (Morisaki et al. 2002), the kinase that phosphorylates Lats2 has not yet been identified | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1407_TRAIN | Citance Number: 7 | Reference Article:  Toji.txt | Citing Article:  Dvash.txt | Citation Marker Offset:  20610-20612 | Citation Marker:  65 | Citation Offset:  20507-20715 | Citation Text:  Since in S. cerevisiae DBF2 was shown to be associated with anaphase and/or telophase progression (16, 65), we examined whether the deletion of the kinase would also affect cell cycle progression in N. crassa | Reference Offset:  ['25454-27790'] | Reference Text:  HeLa S3 cells were transiently transfected with GFP-fused full-length human Lats2 or the GFP-vector alone, followed by immunofluorescence staining with anti-Aurora-A antibody (Fig. 4A). GFP-Lats2 was observed as one or two bright spots beside the nucleus in interphase (left panels, i and ii; green). In prophase, these bright spots translocated toward the opposite poles of the cell (left panel, iii). A similar pattern was also observed for Aurora-A, except that Aurora-A was located within the nucleus (middle panels; red). The nuclear localization of Aurora-A was detected with both of the anti-Aurora-A antibodies and we observed no signal with the secondary antibody alone in our experiments (data not shown). Therefore, it is unlikely that the localization of Aurora-A in the nucleus as determined by these two antibodies is as a result of cross-reaction of anti-Aurora-A antibodies. The yellow spots in the merged images indicate that GFP-Lats2 co-localizes with Aurora-A during interphase, prophase and telophase (right panels). However, when the cells enter metaphase, the GFP-Lats2-specific signal was diffusely distributed throughout the cell (left panel, iv), whereas Aurora-A was localized to two predominant bright spots that are reminiscent of the spindle microtubules and the spindle poles. A similar change in subcellular distribution was also observed in the cells expressing the 6Myc-tagged Lats2 construct (Fig. 4B,i and C,i and ii), and the diffuse distribution of Lats2 was also observed during anaphase (Fig. 4B,ii). Interestingly, when cells enter cytokinesis, GFP-Lats2 was observed again as bright spots and the spots were distributed to daughter cells and localized at each pole (Fig. 4A,v), which is suggestive of re-localization to the centrosomes of GFP-Lats2 when the cells enter cytokinesis. Moreover, GFP-Lats2 was also found at the midbody during cytokinesis (Fig. 4A,v). Together with the previous reports that Aurora-A is localized to the interphase and mitotic centrosomes as well as to the spindle poles (Bischoff et al. 1998; Zhou et al. 1998), these results indicate that Lats2 co-localizes with Aurora-A at the centrosomes during interphase, early prophase and cytokinesis. That Lats2 localizes to centrosomes during interphase was also confirmed by its co-localization with γ-tubulin (Fig. 4C) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1407_TRAIN | Citance Number: 8 | Reference Article:  Toji.txt | Citing Article:  Dvash.txt | Citation Marker Offset:  40274-40276 | Citation Marker:  65 | Citation Offset:  40025-40299 | Citation Text:  We found that, in N. crassa, DBF-2 is predominantly localized in the nucleus, as has been shown in other organisms (41, 59, 66, 68, 73). Taking into consideration the role that DBF2 homologs have been shown to play in cell cycle progression (4, 62, 65,–68), this is expected | Reference Offset:  ['25454-27790'] | Reference Text:  HeLa S3 cells were transiently transfected with GFP-fused full-length human Lats2 or the GFP-vector alone, followed by immunofluorescence staining with anti-Aurora-A antibody (Fig. 4A). GFP-Lats2 was observed as one or two bright spots beside the nucleus in interphase (left panels, i and ii; green). In prophase, these bright spots translocated toward the opposite poles of the cell (left panel, iii). A similar pattern was also observed for Aurora-A, except that Aurora-A was located within the nucleus (middle panels; red). The nuclear localization of Aurora-A was detected with both of the anti-Aurora-A antibodies and we observed no signal with the secondary antibody alone in our experiments (data not shown). Therefore, it is unlikely that the localization of Aurora-A in the nucleus as determined by these two antibodies is as a result of cross-reaction of anti-Aurora-A antibodies. The yellow spots in the merged images indicate that GFP-Lats2 co-localizes with Aurora-A during interphase, prophase and telophase (right panels). However, when the cells enter metaphase, the GFP-Lats2-specific signal was diffusely distributed throughout the cell (left panel, iv), whereas Aurora-A was localized to two predominant bright spots that are reminiscent of the spindle microtubules and the spindle poles. A similar change in subcellular distribution was also observed in the cells expressing the 6Myc-tagged Lats2 construct (Fig. 4B,i and C,i and ii), and the diffuse distribution of Lats2 was also observed during anaphase (Fig. 4B,ii). Interestingly, when cells enter cytokinesis, GFP-Lats2 was observed again as bright spots and the spots were distributed to daughter cells and localized at each pole (Fig. 4A,v), which is suggestive of re-localization to the centrosomes of GFP-Lats2 when the cells enter cytokinesis. Moreover, GFP-Lats2 was also found at the midbody during cytokinesis (Fig. 4A,v). Together with the previous reports that Aurora-A is localized to the interphase and mitotic centrosomes as well as to the spindle poles (Bischoff et al. 1998; Zhou et al. 1998), these results indicate that Lats2 co-localizes with Aurora-A at the centrosomes during interphase, early prophase and cytokinesis. That Lats2 localizes to centrosomes during interphase was also confirmed by its co-localization with γ-tubulin (Fig. 4C) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1407_TRAIN | Citance Number: 9 | Reference Article:  Toji.txt | Citing Article:  Hergovich.txt | Citation Marker Offset:  32241-32243 | Citation Marker:  97 | Citation Offset:  32134-32244 | Citation Text:  LATS1 and LATS2 have been detected on interphase and mitotic centrosomes [45], [93], [94], [95], [96] and [97] | Reference Offset:  ['25454-25753', '26492-27790'] | Reference Text:  HeLa S3 cells were transiently transfected with GFP-fused full-length human Lats2 or the GFP-vector alone, followed by immunofluorescence staining with anti-Aurora-A antibody (Fig. 4A). GFP-Lats2 was observed as one or two bright spots beside the nucleus in interphase (left panels, i and ii; green) ... However, when the cells enter metaphase, the GFP-Lats2-specific signal was diffusely distributed throughout the cell (left panel, iv), whereas Aurora-A was localized to two predominant bright spots that are reminiscent of the spindle microtubules and the spindle poles. A similar change in subcellular distribution was also observed in the cells expressing the 6Myc-tagged Lats2 construct (Fig. 4B,i and C,i and ii), and the diffuse distribution of Lats2 was also observed during anaphase (Fig. 4B,ii). Interestingly, when cells enter cytokinesis, GFP-Lats2 was observed again as bright spots and the spots were distributed to daughter cells and localized at each pole (Fig. 4A,v), which is suggestive of re-localization to the centrosomes of GFP-Lats2 when the cells enter cytokinesis. Moreover, GFP-Lats2 was also found at the midbody during cytokinesis (Fig. 4A,v). Together with the previous reports that Aurora-A is localized to the interphase and mitotic centrosomes as well as to the spindle poles (Bischoff et al. 1998; Zhou et al. 1998), these results indicate that Lats2 co-localizes with Aurora-A at the centrosomes during interphase, early prophase and cytokinesis. That Lats2 localizes to centrosomes during interphase was also confirmed by its co-localization with γ-tubulin (Fig. 4C) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1407_TRAIN | Citance Number: 10 | Reference Article:  Toji.txt | Citing Article:  Lai.txt | Citation Marker Offset:  39302-39319 | Citation Marker:  Toji et al., 2004 | Citation Offset:  39148-39320 | Citation Text:  Third, human Wts2 is a phosphorylation target of Aurora-A kinase, and this phosphorylation plays a role in regulating centrosomal localization of hWts2 ( Toji et al., 2004) | Reference Offset:  ['33454-33835'] | Reference Text:  As shown in Fig. 6(C), in 55% of cells expressing Lats2 WT, the 6Myc-Lats2 localized to the centrosome while, in the case of the S83C and S83E mutants, the percentage of cells harbouring the centrosomal Lats2 were reduced by less than 30 and 43%, respectively. These results indicate that the non-phosphorylation of the Ser 83 residue disturbs the centrosomal localization of Lats2 | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1407_TRAIN | Citance Number: 11 | Reference Article:  Toji.txt | Citing Article:  Mahen.txt | Citation Marker Offset:  7328-7330 | Citation Marker:  22 | Citation Offset:  7162-7379 | Citation Text:  Similarly to PLK1, Aurora-A activity is required for the enrichment or localisation of multiple centrosomal factors which have roles in maturation, including LATS2 [ 22] and CDK5RAP2/Cnn [ 23] (see [ 10] for a review) | Reference Offset:  ['31010-31176', '36157-36712'] | Reference Text:  These results suggest that the endogenous Lats2 is localized to the centrosomes/the spindle poles, where it is phosphorylated on S83 by Aurora-A during the cell cycle ... We identified a centrosomal kinase, Aurora-A, as one of the candidate kinases for phosphorylation of S83 residue on Lats2. Immunostaining data with the anti-phosphorylated S83 antibody reveals that S83 on Lats2 is phosphorylated in vivo during the cell cycle and it is more prominent during prophase and metaphase than interphase, anapahse and telophase, which is similar to the expression pattern of Aurora-A during the cell cycle (Fig. 4A and Bischoff et al. 1998). These results suggest that S83 on Lats2 is a phosphorylation target of Aurora-A in vivo | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1407_TRAIN | Citance Number: 12 | Reference Article:  Toji.txt | Citing Article:  Vader.txt | Citation Marker Offset:  14521-14523 | Citation Marker:  47 | Citation Offset:  14391-14565 | Citation Text:  Aurora-A is required for the correct localisation and function of centrosomal components like centrosomin [45], NDEL1 [46], LATS [47] and [48] and TACC proteins [49] and [50] | Reference Offset:  ['26995-27790', '31010-31176', '36157-36712'] | Reference Text:  Interestingly, when cells enter cytokinesis, GFP-Lats2 was observed again as bright spots and the spots were distributed to daughter cells and localized at each pole (Fig. 4A,v), which is suggestive of re-localization to the centrosomes of GFP-Lats2 when the cells enter cytokinesis. Moreover, GFP-Lats2 was also found at the midbody during cytokinesis (Fig. 4A,v). Together with the previous reports that Aurora-A is localized to the interphase and mitotic centrosomes as well as to the spindle poles (Bischoff et al. 1998; Zhou et al. 1998), these results indicate that Lats2 co-localizes with Aurora-A at the centrosomes during interphase, early prophase and cytokinesis. That Lats2 localizes to centrosomes during interphase was also confirmed by its co-localization with γ-tubulin (Fig. 4C) ... These results suggest that the endogenous Lats2 is localized to the centrosomes/the spindle poles, where it is phosphorylated on S83 by Aurora-A during the cell cycle ... We identified a centrosomal kinase, Aurora-A, as one of the candidate kinases for phosphorylation of S83 residue on Lats2. Immunostaining data with the anti-phosphorylated S83 antibody reveals that S83 on Lats2 is phosphorylated in vivo during the cell cycle and it is more prominent during prophase and metaphase than interphase, anapahse and telophase, which is similar to the expression pattern of Aurora-A during the cell cycle (Fig. 4A and Bischoff et al. 1998). These results suggest that S83 on Lats2 is a phosphorylation target of Aurora-A in vivo | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1407_TRAIN | Citance Number: 13 | Reference Article:  Toji.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  30300-30317 | Citation Marker:  Toji et al., 2004 | Citation Offset:  30097-30318 | Citation Text:  Additionally, loss of LATS2 stimulated reduplication, an activity comparable to that observed when Cyclin E is overexpressed in the absence of p53 (Fukasawa et al., 1996, Tarapore and Fukasawa, 2002 and Toji et al., 2004) | Reference Offset:  ['6173-6420', '8427-8518'] | Reference Text:  Mammalian Lats2, a novel serine/threonine kinase, is a member of Lats kinase family to which the Drosophila tumour suppressor lats/warts also belongs (Yabuta et al. 2000). Mutation of the lats gene leads to dramatic overproliferation of phenotypes ... Lats kinases act as tumour suppressors by inhibition of cell cycle progression or apoptosis | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1407_TRAIN | Citance Number: 14 | Reference Article:  Toji.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  44624-44641 | Citation Marker:  Toji et al., 2004 | Citation Offset:  44490-44642 | Citation Text:  Antibodies used were DO-1 (p53), F5 (p21cip1), F235 (RAS), M20 (cyclin E), M2 (CDK2) from Santa Cruz Biotechnology, and 3D10 (LATS2) (Toji et al., 2004) | Reference Offset:  ['9273-9456', '48324-48454'] | Reference Text:  Cells were harvested at the indicated times after the blocks had been removed and analysed by Western blotting with an anti-human Lats2 monoclonal antibody (3D10) (Yabuta et al. 2000) ... The generation and specificity of the 3D10 anti-human Lats2 monoclonal antibody has been previously described (Yabuta et al. 2000) | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1407_TRAIN | Citance Number: 15 | Reference Article:  Toji.txt | Citing Article:  Zhang,Hu.txt | Citation Marker Offset:  13139-13141 | Citation Marker:  27 | Citation Offset:  13086-13195 | Citation Text:  The plasmids for pCMVmyc-LATS2, described elsewhere [27], were a gift of Dr Hiroshi Nojima (Osaka University) | Reference Offset:  ['45132-45393'] | Reference Text:  To construct the pCMVmyc-Lats2 full plasmid, we prepared BamHI-XcmI fragments by polymerase chain reaction (PCR) using the isolated clone as a template. These fragments were inserted into the BamHI and XcmI sites of the pCMV-HsLATS2 plasmid (Yabuta et al. 2000) | Discourse Facet:  Method_Citation | Annotator:  B, |

