Topic ID: D1407_TRAIN | Citance Number: 1 | Reference Article:  Toji.txt | Citing Article:  Abe.txt | Citation Marker Offset:  2251-2252 | Citation Marker:  8 | Citation Offset:  2131-2253 | Citation Text:  With respect to LATS2, it has been reported that LATS2 induces G2/M arrest and subsequent apoptotic cell death [7] and [8] | Reference Offset:  ['10114-10494', '10825-11014', '35285-35552'] | Reference Text:  The slowly migrating Lats2 band was converted into the fast-migrating band after the phosphatase treatment in a dose-dependent manner. This conversion was completely blocked by the addition of phosphatase inhibitors (Fig. 1B, lane 12), indicating that Lats2 is indeed phosphorylated at the M phase, in which nocodazole-treated cells are arrested by the spindle assembly checkpoint ... This conversion was also completely blocked by the addition of phosphatase inhibitors. These results indicate that Lats2 is phosphorylated not only at the M phase but also at the G1/S phase ... In this study, we have shown that Lats2 is phosphorylated in at least two distinct stages of the cell cycle, G1/S phase and M phase containing nocodazole arrest (Fig. 1A and B), suggesting that Lats2 is regulated by multiple phosphorylations throughout the cell cycle | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1407_TRAIN | Citance Number: 7 | Reference Article:  Toji.txt | Citing Article:  Dvash.txt | Citation Marker Offset:  20610-20612 | Citation Marker:  65 | Citation Offset:  20507-20715 | Citation Text:  Since in S. cerevisiae DBF2 was shown to be associated with anaphase and/or telophase progression (16, 65), we examined whether the deletion of the kinase would also affect cell cycle progression in N. crassa | Reference Offset:  ['7559-7805', '8395-8518'] | Reference Text:  Moreover, Lats1 is phosphorylated in early prophase to function as a negative regulator of Cdc2 kinase by interacting with Cdc2 during mitosis (Tao et al. 1999) and is localized to the mitotic apparatus (Nishiyama et al. 1999; Hirota et al. 2000) ... These observations suggest that Lats kinases act as tumour suppressors by inhibition of cell cycle progression or apoptosis | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1407_TRAIN | Citance Number: 8 | Reference Article:  Toji.txt | Citing Article:  Dvash.txt | Citation Marker Offset:  40274-40276 | Citation Marker:  65 | Citation Offset:  40162-40299 | Citation Text:  Taking into consideration the role that DBF2 homologs have been shown to play in cell cycle progression (4, 62, 65,ﾖ68), this is expected | Reference Offset:  ['8157-8518', '43662-43841'] | Reference Text:  whereas over-expression of mouse Lats2 in v-ras-transformed NIH3T3 cells has shown to inhibit G1/S transition through down-regulation of Cyclin E/Cdk2 kinase activity and to suppress tumorigenicity of NIH3T3/v-ras cells (Li et al. 2003). These observations suggest that Lats kinases act as tumour suppressors by inhibition of cell cycle progression or apoptosis ... Taken together, our data suggest that Lats2 is a novel centrosome-associated kinase that may be involved in regulating the centrosome and/or mitotic spindle downstream of Aurora-A | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1407_TRAIN | Citance Number: 9 | Reference Article:  Toji.txt | Citing Article:  Hergovich.txt | Citation Marker Offset:  32241-32243 | Citation Marker:  97 | Citation Offset:  32023-32244 | Citation Text:  In yeast, Dbf2p and Sid2p reside on the SPB and at the cell division site (summarized in [4]), and in mammals, LATS1 and LATS2 have been detected on interphase and mitotic centrosomes [45], [93], [94], [95], [96] and [97] | Reference Offset:  ['11016-11174', '27361-27668', '43662-43841'] | Reference Text:  This G1/S-phosphorylated band was also observed during interphase (Fig. 1A; 0, 1.5, 3, 10 and 12 h), indicating that Lats2 is phosphorylated during interphase ... Together with the previous reports that Aurora-A is localized to the interphase and mitotic centrosomes as well as to the spindle poles (Bischoff et al. 1998; Zhou et al. 1998), these results indicate that Lats2 co-localizes with Aurora-A at the centrosomes during interphase, early prophase and cytokinesis ... Taken together, our data suggest that Lats2 is a novel centrosome-associated kinase that may be involved in regulating the centrosome and/or mitotic spindle downstream of Aurora-A | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1407_TRAIN | Citance Number: 10 | Reference Article:  Toji.txt | Citing Article:  Lai.txt | Citation Marker Offset:  39302-39319 | Citation Marker:  Toji et al., 2004 | Citation Offset:  39148-39320 | Citation Text:  Third, human Wts2 is a phosphorylation target of Aurora-A kinase, and this phosphorylation plays a role in regulating centrosomal localization of hWts2 ( Toji et al., 2004) | Reference Offset:  ['16550-16826', '27361-27668', '37225-37414'] | Reference Text:  As the kinase that phosphorylates Lats2 is not known, we searched for candidates with the in vitro kinase assay. When we tested DNA-PK (Kim et al. 1999), Nek2 (Fry et al. 1995) and Aurora-A, we found that only Aurora-A could phosphorylate Lats2N efficiently in vitro (Fig. 1D) ... Together with the previous reports that Aurora-A is localized to the interphase and mitotic centrosomes as well as to the spindle poles (Bischoff et al. 1998; Zhou et al. 1998), these results indicate that Lats2 co-localizes with Aurora-A at the centrosomes during interphase, early prophase and cytokinesis ... Immunofluorescence data of exogenous GFP or 6Myc-tagged Lats2 protein indicate that Lats2 and Aurora-A co-localize at the centrosome during the cell cycle, except for metaphase and anaphase | Discourse Facet:  Results_Citation | Annotator:  H, |

Topic ID: D1407_TRAIN | Citance Number: 11 | Reference Article:  Toji.txt | Citing Article:  Mahen.txt | Citation Marker Offset:  7328-7330 | Citation Marker:  22 | Citation Offset:  7070-7379 | Citation Text:  However, the molecular targets of PLK1 which regulate this process remain to be determined. Similarly to PLK1, Aurora-A activity is required for the enrichment or localisation of multiple centrosomal factors which have roles in maturation, including LATS2 [ 22] and CDK5RAP2/Cnn [ 23] (see [ 10] for a review) | Reference Offset:  ['31010-31176', '36157-36623'] | Reference Text:  These results suggest that the endogenous Lats2 is localized to the centrosomes/the spindle poles, where it is phosphorylated on S83 by Aurora-A during the cell cycle ... We identified a centrosomal kinase, Aurora-A, as one of the candidate kinases for phosphorylation of S83 residue on Lats2. Immunostaining data with the anti-phosphorylated S83 antibody reveals that S83 on Lats2 is phosphorylated in vivo during the cell cycle and it is more prominent during prophase and metaphase than interphase, anapahse and telophase, which is similar to the expression pattern of Aurora-A during the cell cycle (Fig. 4A and Bischoff et al. 1998) | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1407_TRAIN | Citance Number: 12 | Reference Article:  Toji.txt | Citing Article:  Vader.txt | Citation Marker Offset:  14521-14523 | Citation Marker:  47 | Citation Offset:  14391-14565 | Citation Text:  Aurora-A is required for the correct localisation and function of centrosomal components like centrosomin [45], NDEL1 [46], LATS [47] and [48] and TACC proteins [49] and [50] | Reference Offset:  ['27361-27668', '31010-31176', '43662-43841'] | Reference Text:  Together with the previous reports that Aurora-A is localized to the interphase and mitotic centrosomes as well as to the spindle poles (Bischoff et al. 1998; Zhou et al. 1998), these results indicate that Lats2 co-localizes with Aurora-A at the centrosomes during interphase, early prophase and cytokinesis ... These results suggest that the endogenous Lats2 is localized to the centrosomes/the spindle poles, where it is phosphorylated on S83 by Aurora-A during the cell cycle ... Taken together, our data suggest that Lats2 is a novel centrosome-associated kinase that may be involved in regulating the centrosome and/or mitotic spindle downstream of Aurora-A | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1407_TRAIN | Citance Number: 13 | Reference Article:  Toji.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  30300-30317 | Citation Marker:  Toji et al., 2004 | Citation Offset:  30097-30318 | Citation Text:  Additionally, loss of LATS2 stimulated reduplication, an activity comparable to that observed when Cyclin E is overexpressed in the absence of p53 (Fukasawa et al., 1996, Tarapore and Fukasawa, 2002 and Toji et al., 2004) | Reference Offset:  ['8157-8393', '35847-36155'] | Reference Text:  whereas over-expression of mouse Lats2 in v-ras-transformed NIH3T3 cells has shown to inhibit G1/S transition through down-regulation of Cyclin E/Cdk2 kinase activity and to suppress tumorigenicity of NIH3T3/v-ras cells (Li et al. 2003) ... Because it is probable that mouse Lats2 also regulates the G1/S transition through down-regulation of Cyclin E/Cdk2 kinase activity in NIH3T3 cells (Li et al. 2003), the G1/S-dependent phosphorylation(s) of Lats2 that we have shown in Fig. 1(B) may be implicated in some functions of Lats2 on G1/S transition | Discourse Facet:  Discussion_Citation | Annotator:  H, |

Topic ID: D1407_TRAIN | Citance Number: 14 | Reference Article:  Toji.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  44624-44641 | Citation Marker:  Toji et al., 2004 | Citation Offset:  44490-44642 | Citation Text:  Antibodies used were DO-1 (p53), F5 (p21cip1), F235 (RAS), M20 (cyclin E), M2 (CDK2) from Santa Cruz Biotechnology, and 3D10 (LATS2) (Toji et al., 2004) | Reference Offset:  ['9273-9456', '48324-48454'] | Reference Text:  Cells were harvested at the indicated times after the blocks had been removed and analysed by Western blotting with an anti-human Lats2 monoclonal antibody (3D10) (Yabuta et al. 2000) ... The generation and specificity of the 3D10 anti-human Lats2 monoclonal antibody has been previously described (Yabuta et al. 2000) | Discourse Facet:  Method_Citation | Annotator:  H, |

Topic ID: D1407_TRAIN | Citance Number: 15 | Reference Article:  Toji.txt | Citing Article:  Zhang,Hu.txt | Citation Marker Offset:  13139-13141 | Citation Marker:  27 | Citation Offset:  13086-13195 | Citation Text:  The plasmids for pCMVmyc-LATS2, described elsewhere [27], were a gift of Dr Hiroshi Nojima (Osaka University) | Reference Offset:  ['44788-45010', '45012-45283'] | Reference Text:  To isolate the complete human LATS2 cDNA, we screened a human placenta cDNA library (Clontech), using as a probe HindIII-PstI fragments from the pAP3neo-HsLATS2 plasmid that contains partial Lats2 cDNA (Yabuta et al. 2000) ... The nucleotide sequences of both strands of the isolated clone were determined by the dideoxy chain termination method. To construct the pCMVmyc-Lats2 full plasmid, we prepared BamHI-XcmI fragments by polymerase chain reaction (PCR) using the isolated clone as a template | Discourse Facet:  Method_Citation | Annotator:  H, |

