Topic ID: D1409_TRAIN | Citance Number: 1 | Reference Article:  Sherr.txt | Citing Article:  Benelli.txt | Citation Marker Offset:  2586-2587 | Citation Marker:  5 | Citation Offset:  2417-2588 | Citation Text:  For example, loss of, or functional alterations in, the two major tumor suppressor proteins pRB and p53 cause an up-regulation of ribosome biogenesis in cancer tissues [5] | Reference Offset:  ['423-743', '1331-1878', '19532-19889'] | Reference Text:  Most prominent among the regulators disrupted in cancer cells are two tumor suppressors, the retinoblastoma protein (RB) and the p53 transcription factor. Here, we discuss interconnecting signaling pathways controlled by RB and p53, attempting to explain their potentially universal involvement in the etiology of cancer ... Yet, despite the existence of many forms of cancer and global changes in gene expression profiles observed in cancer cells versus normal cells, a relatively small number of essential alterations are shared by most, and perhaps all, tumors (Hanahan and Weinberg, 2000). Such mutations can disrupt normal growth control in response to environmental cues, or can dismantle cell cycle checkpoints that otherwise limit cell division or that induce cell suicide in response to DNA damage or oncogene activation. RB and p53 are central to these processes ... Hence, human cells lacking intact RB and p53 checkpoints eventually experience telomere dysfunction, leading to chromosomal end-end joining and fusion-bridge-breakage cycles that trigger the aneuploidy observed in most carcinomas ( Hanahan and Weinberg, 2000, Sherr and DePinho, 2000, Wright and Shay, 2000, Hahn and Weinberg, 2002 and O'Hagan et al., 2002) | Discourse Facet:  Discussion_Citation | Annotator: C, |

Topic ID: D1409_TRAIN | Citance Number: 7 | Reference Article:  Sherr.txt | Citing Article:  O'Shea.txt | Citation Marker Offset:  2965-2990 | Citation Marker:  Sherr and McCormick, 2002 | Citation Offset:  2760-2991 | Citation Text:  The p53 tumor suppressor pathway is inactivated in nearly all human tumors, either through direct mutation of p53 or the loss of upstream regulators such as p14ARF or downstream p53 effectors such as Bax (Sherr and McCormick, 2002) | Reference Offset:  ['17241-17632', '18081-18384'] | Reference Text:  The alternative reading frame protein (p19Arf in mice and p14ARF in humans) is a potent tumor suppressor that activates p53 ( Kamijo et al., 1997). The p53 transcription factor is induced in response to DNA damage, hypoxia, and oncogene activation, and it regulates a program of gene expression that leads either to cell cycle arrest or apoptosis ( Levine, 1997 and Giaccia and Kastan, 1998) ... The p53 gene is mutated in more than 50% of human cancers, and mutations in other genes that affect p53 function occur in many, if not all, tumors that retain a normal p53 gene. Among these are mutations affecting Hdm2, ARF, and a series of transcription factors that control ARF and p53 gene expression | Discourse Facet:  Discussion_Citation | Annotator: C, |

Topic ID: D1409_TRAIN | Citance Number: 8 | Reference Article:  Sherr.txt | Citing Article:  Paulson.txt | Citation Marker Offset:  1752-1753 | Citation Marker:  1 | Citation Offset:  1500-1759 | Citation Text:  p16 (CDKN2a/INK4a) (OMIM #600160) is a cyclin dependent kinase inhibitor that regulates cell cycle progression through the G1/S restriction point by binding to cyclin dependent kinases 4 and 6, preventing phosphorylation of the retinoblastoma protein [1], [2] | Reference Offset:  ['8970-9234', '10243-11091'] | Reference Text:  Four INK4 proteins (p16INK4a, p15INK4b, p18INK4c, and p19INK4d) specifically inhibit the activity of cyclin D-dependent kinases to prevent phosphorylation of RB family proteins (Ruas and Peters, 1998, Sherr and Roberts, 1999, Roussel, 1999 and Ortega et al., 2002) ... Both p16Ink4a and p15Ink4b are selectively induced when primary MEFs are explanted into culture (Zindy et al., 1997). A progressive increase in p16Ink4a levels as such cells are serially passaged correlates with their diminishing proliferative capacity, arguing for a role for p16Ink4a in cellular senescence (Alcorta et al., 1996, Hara et al., 1996 and Zindy et al., 1997). Stress stemming from a nonphysiologic cell culture environment generates signals that activate p16Ink4a synthesis (Sherr and DePinho, 2000), but its induction can be retarded, or even eliminated, by changing conditions in which primary cells are grown (Ramirez et al., 2001). This argues that p16Ink4a plays a specialized role within the Ink4 family in countering certain signals that abnormally drive cell proliferation, a checkpoint function that is eroded in tumor cells | Discourse Facet:  Discussion_Citation | Annotator: C, |

Topic ID: D1409_TRAIN | Citance Number: 9 | Reference Article:  Sherr.txt | Citing Article:  Roussel.txt | Citation Marker Offset:  3691-3716 | Citation Marker:  Sherr and McCormick, 2002 | Citation Offset:  3453-3717 | Citation Text:  Mouse embryo fibroblasts (MEFs) from p53-deficient and Arf null mice are immortal and fail to enter premature senescence, and mice lacking either of these two tumor suppressors develop a variety of tumors that are refractory to therapy ( Sherr and McCormick, 2002) | Reference Offset:  ['18450-18741', '21671-22195'] | Reference Text:  Both p53- and Arf-deficient mice spontaneously develop tumors and die of cancers early in life ( Jacks, 1996 and Kamijo et al., 1999a). Primary MEFs cultured from these animals do not senesce in culture but instead yield immortal cell lines ( Harvey and Levine, 1991 and Kamijo et al., 1997) ... MEFs lacking all three Rb family proteins do not senesce in culture and are resistant to p19Arf-induced cell cycle arrest (Dannenberg et al., 2000 and Sage et al., 2000). One possible interpretation is that the antiproliferative activity of p19Arf might strongly depend upon the ability of the p53-inducible Cdk inhibitor, p21Cip1, to inhibit phosphorylation of Rb family members. However, cells lacking Cip1 are not immortal and undergo efficient p19Arf-induced arrest ( Pantoja and Serrano, 1999 and Modestou et al., 2001) | Discourse Facet:  Results_Citation | Annotator: C, |

Topic ID: D1409_TRAIN | Citance Number: 10 | Reference Article:  Sherr.txt | Citing Article:  Wiedemeyer.txt | Citation Marker Offset:  12876-12901 | Citation Marker:  Sherr and McCormick, 2002 | Citation Offset:  12748-12902 | Citation Text:  Several lines of evidence suggest that the known principal RB pathway lesions in human tumors act in a mutual exclusive manner (Sherr and McCormick, 2002) | Reference Offset:  ['11122-12202', '12349-12796'] | Reference Text:  The biochemical activities of the INK4 proteins, cyclin D-dependent kinases, and RB family proteins highlight a pathway controlling G1 phase progression: There is now compelling evidence that particular components of this regulatory machinery act as tumor suppressors or protooncogenes, whose mutations occur so frequently as to prompt speculation that disabling “the RB pathway” may be essential for the formation of cancer cells (Sherr, 1996, Sellers and Kaelin, 1997, Nevins, 2001, Hahn and Weinberg, 2002 and Ortega et al., 2002). While RB disruption is the sine qua non of retinoblastoma, RB loss occurs in many tumor types. Similarly, although mutations inactivating p16INK4a function were first mapped in familial melanoma ( Kamb et al., 1994), they have been cataloged in many other cancers ( Ruas and Peters, 1998). Mutually exclusive events resulting in RB or p16INK4a inactivation through mutation, deletion, or epigenetic silencing, or in the overexpression of cyclin D1 or Cdk4, provide genetic evidence for operation of this signaling pathway in tumor surveillance ... It is notable that mutations affecting the RB pathway generally occur in a mutually exclusive fashion, so that one “hit” (e.g., INK4a mutation) is unaccompanied by others (RB mutation or cyclin D-Cdk overexpression). Interestingly, the frequency of particular genetic events varies among tumor types. For example, in lung cancers, RB loss predominates in small cell tumors, whereas p16INK4a loss occurs in the majority of non-small cell carcinomas | Discourse Facet:  Discussion_Citation | Annotator: C, |

Topic ID: D1409_TRAIN | Citance Number: 11 | Reference Article:  Sherr.txt | Citing Article:  Wiedemeyer.txt | Citation Marker Offset:  3438-3463 | Citation Marker:  Sherr and McCormick, 2002 | Citation Offset:  3280-3577 | Citation Text:  In individual human tumor specimens, these principal components of the pathway—RB-CDK4/6-p16INK4A—are reported to be targeted in a mutually exclusive manner (Sherr and McCormick, 2002) consistent with their overlapping functions in regulating the G1-S transition of the cell cycle (Massague, 2004) | Reference Offset:  ['10243-11091', '11278-12202', '12349-12796'] | Reference Text:  Both p16Ink4a and p15Ink4b are selectively induced when primary MEFs are explanted into culture (Zindy et al., 1997). A progressive increase in p16Ink4a levels as such cells are serially passaged correlates with their diminishing proliferative capacity, arguing for a role for p16Ink4a in cellular senescence (Alcorta et al., 1996, Hara et al., 1996 and Zindy et al., 1997). Stress stemming from a nonphysiologic cell culture environment generates signals that activate p16Ink4a synthesis (Sherr and DePinho, 2000), but its induction can be retarded, or even eliminated, by changing conditions in which primary cells are grown (Ramirez et al., 2001). This argues that p16Ink4a plays a specialized role within the Ink4 family in countering certain signals that abnormally drive cell proliferation, a checkpoint function that is eroded in tumor cells ... There is now compelling evidence that particular components of this regulatory machinery act as tumor suppressors or protooncogenes, whose mutations occur so frequently as to prompt speculation that disabling “the RB pathway” may be essential for the formation of cancer cells (Sherr, 1996, Sellers and Kaelin, 1997, Nevins, 2001, Hahn and Weinberg, 2002 and Ortega et al., 2002). While RB disruption is the sine qua non of retinoblastoma, RB loss occurs in many tumor types. Similarly, although mutations inactivating p16INK4a function were first mapped in familial melanoma ( Kamb et al., 1994), they have been cataloged in many other cancers ( Ruas and Peters, 1998). Mutually exclusive events resulting in RB or p16INK4a inactivation through mutation, deletion, or epigenetic silencing, or in the overexpression of cyclin D1 or Cdk4, provide genetic evidence for operation of this signaling pathway in tumor surveillance ... It is notable that mutations affecting the RB pathway generally occur in a mutually exclusive fashion, so that one “hit” (e.g., INK4a mutation) is unaccompanied by others (RB mutation or cyclin D-Cdk overexpression). Interestingly, the frequency of particular genetic events varies among tumor types. For example, in lung cancers, RB loss predominates in small cell tumors, whereas p16INK4a loss occurs in the majority of non-small cell carcinomas | Discourse Facet:  Discussion_Citation | Annotator: C, |

