Topic ID: D1409_TRAIN | Citance Number: 1 | Reference Article:  Sherr.txt | Citing Article:  Benelli.txt | Citation Marker Offset:  2586-2587 | Citation Marker:  5 | Citation Offset:  2417-2588 | Citation Text:  For example, loss of, or functional alterations in, the two major tumor suppressor proteins pRB and p53 cause an up-regulation of ribosome biogenesis in cancer tissues [5] | Reference Offset:  ['19532-19889'] | Reference Text:  Hence, human cells lacking intact RB and p53 checkpoints eventually experience telomere dysfunction, leading to chromosomal end-end joining and fusion-bridge-breakage cycles that trigger the aneuploidy observed in most carcinomas ( Hanahan and Weinberg, 2000, Sherr and DePinho, 2000, Wright and Shay, 2000, Hahn and Weinberg, 2002 and O'Hagan et al., 2002) | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1409_TRAIN | Citance Number: 7 | Reference Article:  Sherr.txt | Citing Article:  O'Shea.txt | Citation Marker Offset:  2965-2990 | Citation Marker:  Sherr and McCormick, 2002 | Citation Offset:  2760-2991 | Citation Text:  The p53 tumor suppressor pathway is inactivated in nearly all human tumors, either through direct mutation of p53 or the loss of upstream regulators such as p14ARF or downstream p53 effectors such as Bax (Sherr and McCormick, 2002) | Reference Offset:  ['17241-17387', '18081-18257'] | Reference Text:  The alternative reading frame protein (p19Arf in mice and p14ARF in humans) is a potent tumor suppressor that activates p53 ( Kamijo et al., 1997) ... The p53 gene is mutated in more than 50% of human cancers, and mutations in other genes that affect p53 function occur in many, if not all, tumors that retain a normal p53 gene | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1409_TRAIN | Citance Number: 8 | Reference Article:  Sherr.txt | Citing Article:  Paulson.txt | Citation Marker Offset:  1752-1753 | Citation Marker:  1 | Citation Offset:  1500-1759 | Citation Text:  p16 (CDKN2a/INK4a) (OMIM #600160) is a cyclin dependent kinase inhibitor that regulates cell cycle progression through the G1/S restriction point by binding to cyclin dependent kinases 4 and 6, preventing phosphorylation of the retinoblastoma protein [1], [2] | Reference Offset:  ['8970-9234'] | Reference Text:  Four INK4 proteins (p16INK4a, p15INK4b, p18INK4c, and p19INK4d) specifically inhibit the activity of cyclin D-dependent kinases to prevent phosphorylation of RB family proteins (Ruas and Peters, 1998, Sherr and Roberts, 1999, Roussel, 1999 and Ortega et al., 2002) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1409_TRAIN | Citance Number: 9 | Reference Article:  Sherr.txt | Citing Article:  Roussel.txt | Citation Marker Offset:  3691-3716 | Citation Marker:  Sherr and McCormick, 2002 | Citation Offset:  3453-3717 | Citation Text:  Mouse embryo fibroblasts (MEFs) from p53-deficient and Arf null mice are immortal and fail to enter premature senescence, and mice lacking either of these two tumor suppressors develop a variety of tumors that are refractory to therapy ( Sherr and McCormick, 2002) | Reference Offset:  ['18450-18584', '18586-18741'] | Reference Text:  Both p53- and Arf-deficient mice spontaneously develop tumors and die of cancers early in life ( Jacks, 1996 and Kamijo et al., 1999a) ... Primary MEFs cultured from these animals do not senesce in culture but instead yield immortal cell lines ( Harvey and Levine, 1991 and Kamijo et al., 1997) | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1409_TRAIN | Citance Number: 10 | Reference Article:  Sherr.txt | Citing Article:  Wiedemeyer.txt | Citation Marker Offset:  12876-12901 | Citation Marker:  Sherr and McCormick, 2002 | Citation Offset:  12748-12902 | Citation Text:  Several lines of evidence suggest that the known principal RB pathway lesions in human tumors act in a mutual exclusive manner (Sherr and McCormick, 2002) | Reference Offset:  ['11949-12202'] | Reference Text:  Mutually exclusive events resulting in RB or p16INK4a inactivation through mutation, deletion, or epigenetic silencing, or in the overexpression of cyclin D1 or Cdk4, provide genetic evidence for operation of this signaling pathway in tumor surveillance | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1409_TRAIN | Citance Number: 11 | Reference Article:  Sherr.txt | Citing Article:  Wiedemeyer.txt | Citation Marker Offset:  3438-3463 | Citation Marker:  Sherr and McCormick, 2002 | Citation Offset:  3280-3577 | Citation Text:  In individual human tumor specimens, these principal components of the pathway—RB-CDK4/6-p16INK4A—are reported to be targeted in a mutually exclusive manner (Sherr and McCormick, 2002) consistent with their overlapping functions in regulating the G1-S transition of the cell cycle (Massague, 2004) | Reference Offset:  ['2707-2962', '2964-3258'] | Reference Text:  Transcription of the cyclin D1 gene, its synthesis and assembly with Cdk4, and the stability and nuclear retention of the holoenzyme depend strongly on receptor-mediated Ras and phosphatidylinositol 3-kinase (PI3-K) signaling ( Marshall, 1999) ( Figure 1) ... Persistent mitogenic stimulation leads to progressive accumulation of cyclin D-dependent kinases within the cell nucleus; here they collaborate with cyclin E-Cdk2 to phosphorylate RB and RB family members p107 and p130, canceling their growth inhibitory functions and facilitating S phase entry | Discourse Facet:  Results_Citation | Annotator:  G, |

