Topic ID: D1406_TRAIN | Citance Number: 1 | Reference Article:  Hanahan.txt | Citing Article:  Coussens.txt | Citation Marker Offset:  34854-34856 | Citation Marker:  17 | Citation Offset:  34627-34857 | Citation Text:  Thus a new perspective has emerged, that tumors are complex multicellular enterprises, wherein ostensibly normal cells are conscripted by transformed cancer cells to make significant contributions to the tumor phenotype (6 and 17) | Reference Offset:  ['2207-2440', '3677-4023', '15197-15928'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... Taken together, observations of human cancers and animal models argue that tumor development proceeds via a process formally analogous to Darwinian evolution, in which a succession of genetic changes, each conferring one or another type of growth advantage, leads to the progressive conversion of normal human cells into cancer cells ( 33 and 71) ... While difficult to validate at present, such thinking recasts the logic of acquired GS autonomy: successful tumor cells are those that have acquired the ability to co-opt their normal neighbors by inducing them to release abundant fluxes of growth-stimulating signals (Skobe and Fusenig 1998). Indeed, in some tumors, these cooperating cells may eventually depart from normalcy, coevolving with their malignant neighbors in order to sustain the growth of the latter (58 and 72). Further, inflammatory cells attracted to sites of neoplasia may promote (rather than eliminate) cancer cells (18, 22 and 46), another example of normal cells conscripted to enhance tumor growth potential, another means to acquire necessary capabilities | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1406_TRAIN | Citance Number: 7 | Reference Article:  Hanahan.txt | Citing Article:  Hoffman.txt | Citation Marker Offset:  2253-2279 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  2180-2280 | Citation Text:  Tumorigenesis is a multistage process that involves multiple cell types (Hanahan and Weinberg, 2000) | Reference Offset:  ['2207-2440', '52219-52581', '56707-57247'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... A further dimension of complexity derives from the multiple cell types involved in protease expression and display. In many types of carcinomas, matrix-degrading proteases are produced not by the epithelial cancer cells but rather by conscripted stromal and inflammatory cells (Werb 1997); once released by these cells, they may be wielded by the carcinoma cells ... Further, mutations in certain oncogenes and tumor suppressor genes can occur early in some tumor progression pathways and late in others. As a consequence, the acquisition of biological capabilities such as resistance to apoptosis, sustained angiogenesis, and unlimited replicative potential can appear at different times during these various progressions. Accordingly, the particular sequence in which capabilities are acquired can vary widely, both among tumors of the same type and certainly between tumors of different types ( Figure 4) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1406_TRAIN | Citance Number: 8 | Reference Article:  Hanahan.txt | Citing Article:  Lin.txt | Citation Marker Offset:  4280-4306 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  3990-4307 | Citation Text:  A high percentage of tumor cells that take on immortalized characteristics show telomerase activity Kim et al. 1994, Greider and Blackburn 1996, Shay and Bacchetti 1997 and Cong et al. 2002, and it has been suggested that hTERT expression may be one of the six key events common to cancer (Hanahan and Weinberg, 2000) | Reference Offset:  ['35380-35871', '36170-36584', '37763-38068'] | Reference Text:  Telomere maintenance is evident in virtually all types of malignant cells (Shay and Bacchetti 1997); 85%–90% of them succeed in doing so by upregulating expression of the telomerase enzyme, which adds hexanucleotide repeats onto the ends of telomeric DNA (Bryan and Cech 1999), while the remainder have invented a way of activating a mechanism, termed ALT, which appears to maintain telomeres through recombination-based interchromosomal exchanges of sequence information (Bryan et al. 1995) ... The role of telomerase in immortalizing cells can be demonstrated directly by ectopically expressing the enzyme in cells, where it can convey unlimited replicative potential onto a variety of normal early passage, presenescent cells in vitro (7 and 92). Further, late passage cells poised to enter crisis continue to proliferate without giving any evidence of crisis when supplied with this enzyme (20, 40 and 101) ... The above-cited observations might argue that senescence, much like apoptosis, reflects a protective mechanism that can be activated by shortened telomeres or conflicting growth signals that forces aberrant cells irreversibly into a G0-like state, thereby rendering them incapable of further proliferation | Discourse Facet:  Implication_Citation | Annotator:  C, |

Topic ID: D1406_TRAIN | Citance Number: 9 | Reference Article:  Hanahan.txt | Citing Article:  Tamburini.txt | Citation Marker Offset:  39797-39799 | Citation Marker:  63 | Citation Offset:  39590-39800 | Citation Text:  As may be true for hypoxia response genes, upregulation of proinflammatory genes in hemangiosarcoma also could result from selective pressures to create a favorable microenvironment for growth and survival [63] | Reference Offset:  ['7189-7568', '26300-26798', '29301-29536'] | Reference Text:  The conclusion is that tumor cells generate many of their own growth signals, thereby reducing their dependence on stimulation from their normal tissue microenvironment. This liberation from dependence on exogenously derived signals disrupts a critically important homeostatic mechanism that normally operates to ensure a proper behavior of the various cell types within a tissue ... When coexpressed with a myc oncogene in transgenic mice, the bcl-2 gene was able to promote formation of B cell lymphomas by enhancing lymphocyte survival, not by further stimulating their myc-induced proliferation ( Strasser et al. 1990); further, 50% of the infrequent lymphomas arising in bcl-2 single transgenic transgenic mice had somatic translocations activating c-myc, confirming a selective pressure during lymphomagenesis to upregulate both Bcl-2 and c-Myc ( McDonnell and Korsmeyer 1991) ... Signals evoked by other abnormalities, including hypoxia and oncogene hyperexpression, are also funneled in part via p53 to the apoptotic machinery; these too are impaired at eliciting apoptosis when p53 function is lost ( Levine 1997) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1406_TRAIN | Citance Number: 10 | Reference Article:  Hanahan.txt | Citing Article:  Teferedegne.txt | Citation Marker Offset:  2227-2228 | Citation Marker:  3 | Citation Offset:  2067-2234 | Citation Text:  Neoplastic development represents cumulative genetic and epigenetic events leading to the emergence of cells that can attain a tumorigenic phenotype [1], [2], [3], [4] | Reference Offset:  ['2207-2440', '57249-57737'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... Furthermore, in certain tumors, a specific genetic event may, on its own, contribute only partially to the acquisition of a single capability, while in others, this event may aid in the simultaneous acquisition of several distinct capabilities. Nonetheless, we believe that independent of how the steps in these genetic pathways are arranged, the biological endpoints that are ultimately reached—the hallmark capabilities of cancer—will prove to be shared in common by all types of tumors | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1406_TRAIN | Citance Number: 11 | Reference Article:  Hanahan.txt | Citing Article:  Teferedegne.txt | Citation Marker Offset:  25922-25923 | Citation Marker:  3 | Citation Offset:  25787-26092 | Citation Text:  In view of the evidence that many tumors occurring in nature arise from the selection of cells with genetic and/or epigenetic changes [3], one interpretation of our data is that the in vitro passage of VERO cells selected for the expansion of cells bearing alterations in the expression of specific miRNAs | Reference Offset:  ['2207-2440', '3677-4023'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... Taken together, observations of human cancers and animal models argue that tumor development proceeds via a process formally analogous to Darwinian evolution, in which a succession of genetic changes, each conferring one or another type of growth advantage, leads to the progressive conversion of normal human cells into cancer cells ( 33 and 71) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1406_TRAIN | Citance Number: 12 | Reference Article:  Hanahan.txt | Citing Article:  Teferedegne.txt | Citation Marker Offset:  31582-31583 | Citation Marker:  3 | Citation Offset:  31296-31589 | Citation Text:  The phenomena of neoplastic development and neoplastic transformation, whether they occur in vivo or in vitro, are thought to represent the accumulation of a series of genetic and epigenetic alterations that disrupt the normal processes of cell division and tissue integrity [1], [2], [3], [4] | Reference Offset:  ['3677-4023', '32947-33245', '57249-57737'] | Reference Text:  Taken together, observations of human cancers and animal models argue that tumor development proceeds via a process formally analogous to Darwinian evolution, in which a succession of genetic changes, each conferring one or another type of growth advantage, leads to the progressive conversion of normal human cells into cancer cells ( 33 and 71) ... Provocatively, most types of tumor cells that are propagated in culture appear to be immortalized, suggesting that limitless replicative potential is a phenotype that was acquired in vivo during tumor progression and was essential for the development of their malignant growth state (Hayflick 1997) ... Furthermore, in certain tumors, a specific genetic event may, on its own, contribute only partially to the acquisition of a single capability, while in others, this event may aid in the simultaneous acquisition of several distinct capabilities. Nonetheless, we believe that independent of how the steps in these genetic pathways are arranged, the biological endpoints that are ultimately reached—the hallmark capabilities of cancer—will prove to be shared in common by all types of tumors | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1406_TRAIN | Citance Number: 13 | Reference Article:  Hanahan.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  16742-16768 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  16571-16769 | Citation Text:  A hallmark of cellular transformation is the ability of tumor cells to grow anchorage independently in semisolid medium and as tumors in model mice (Hahn et al., 1999 and Hanahan and Weinberg, 2000) | Reference Offset:  ['3182-3675', '22150-22645'] | Reference Text:  Transformation of cultured cells is itself a multistep process: rodent cells require at least two introduced genetic changes before they acquire tumorigenic competence, while their human counterparts are more difficult to transform (Hahn et al. 1999). Transgenic models of tumorigenesis have repeatedly supported the conclusion that tumorigenesis in mice involves multiple rate-limiting steps (Bergers et al., 1998; see Oncogene, 1999, R. DePinho and T. E. Jacks, volume 18[38], pp. 5248–5362) ... The ability of tumor cell populations to expand in number is determined not only by the rate of cell proliferation but also by the rate of cell attrition. Programmed cell death—apoptosis—represents a major source of this attrition. The evidence is mounting, principally from studies in mouse models and cultured cells, as well as from descriptive analyses of biopsied stages in human carcinogenesis, that acquired resistance toward apoptosis is a hallmark of most and perhaps all types of cancer | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1406_TRAIN | Citance Number: 14 | Reference Article:  Hanahan.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  35535-35561 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  35426-35562 | Citation Text:  Sustained proliferation of cells in the presence of oncogenic signals is a major leap toward tumorigenicity (Hanahan and Weinberg, 2000) | Reference Offset:  ['7189-7568', '11090-11418', '14828-15489'] | Reference Text:  The conclusion is that tumor cells generate many of their own growth signals, thereby reducing their dependence on stimulation from their normal tissue microenvironment. This liberation from dependence on exogenously derived signals disrupts a critically important homeostatic mechanism that normally operates to ensure a proper behavior of the various cell types within a tissue ... We suspect that growth signaling pathways suffer deregulation in all human tumors. Although this point is hard to prove rigorously at present, the clues are abundant (Hunter 1997). For example, in the best studied of tumors—human colon carcinomas—about half of the tumors bear mutant ras oncogenes ( Kinzler and Vogelstein 1996) ... Heterotypic signaling between the diverse cell types within a tumor may ultimately prove to be as important in explaining tumor cell proliferation as the cancer cell-autonomous mechanisms enumerated above. For example, we suspect that many of the growth signals driving the proliferation of carcinoma cells originate from the stromal cell components of the tumor mass. While difficult to validate at present, such thinking recasts the logic of acquired GS autonomy: successful tumor cells are those that have acquired the ability to co-opt their normal neighbors by inducing them to release abundant fluxes of growth-stimulating signals (Skobe and Fusenig 1998) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1406_TRAIN | Citance Number: 15 | Reference Article:  Hanahan.txt | Citing Article:  Weinberg.txt | Citation Marker Offset:  17736-17762 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  17558-17763 | Citation Text:  For this reason, we side-stepped the issues of signal transduction biochemistry and focused instead on biology—on the phenotypes of cancer cells and the tumors that they formed (Hanahan and Weinberg, 2000) | Reference Offset:  ['4958-5667', '56152-56432', '57494-57737'] | Reference Text:  We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis. Each of these physiologic changes—novel capabilities acquired during tumor development—represents the successful breaching of an anticancer defense mechanism hardwired into cells and tissues. We propose that these six capabilities are shared in common by most and perhaps all types of human tumors ... We place this acquired characteristic of genomic instability apart from the six acquired capabilities associated with tumor cell phenotype and tumor physiology: it represents the means that enables evolving populations of premalignant cells to reach these six biological endpoints ... Nonetheless, we believe that independent of how the steps in these genetic pathways are arranged, the biological endpoints that are ultimately reached—the hallmark capabilities of cancer—will prove to be shared in common by all types of tumors | Discourse Facet:  Discussion_Citation | Annotator:  C, |

