Topic ID: D1406_TRAIN | Citance Number: 1 | Reference Article:  Hanahan.txt | Citing Article:  Coussens.txt | Citation Marker Offset:  34854-34856 | Citation Marker:  17 | Citation Offset:  34627-34857 | Citation Text:  Thus a new perspective has emerged, that tumors are complex multicellular enterprises, wherein ostensibly normal cells are conscripted by transformed cancer cells to make significant contributions to the tumor phenotype (6 and 17) | Reference Offset:  ['14334-14599'] | Reference Text:  Looking forward in time, we believe that important new inroads will come from regarding tumors as complex tissues in which mutant cancer cells have conscripted and subverted normal cell types to serve as active collaborators in their neoplastic agenda (right panel) | Discourse Facet:  Hypothesis_Citation | Annotator:  G, |
Topic ID: D1406_TRAIN | Citance Number: 7 | Reference Article:  Hanahan.txt | Citing Article:  Hoffman.txt | Citation Marker Offset:  2253-2279 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  2180-2280 | Citation Text:  Tumorigenesis is a multistage process that involves multiple cell types (Hanahan and Weinberg, 2000) | Reference Offset:  ['2207-2440', '52219-52333'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... A further dimension of complexity derives from the multiple cell types involved in protease expression and display | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1406_TRAIN | Citance Number: 8 | Reference Article:  Hanahan.txt | Citing Article:  Lin.txt | Citation Marker Offset:  4280-4306 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  3990-4307 | Citation Text:  A high percentage of tumor cells that take on immortalized characteristics show telomerase activity Kim et al. 1994, Greider and Blackburn 1996, Shay and Bacchetti 1997 and Cong et al. 2002, and it has been suggested that hTERT expression may be one of the six key events common to cancer (Hanahan and Weinberg, 2000) | Reference Offset:  ['35380-35871', '57810-58011'] | Reference Text:  Telomere maintenance is evident in virtually all types of malignant cells (Shay and Bacchetti 1997); 85%–90% of them succeed in doing so by upregulating expression of the telomerase enzyme, which adds hexanucleotide repeats onto the ends of telomeric DNA (Bryan and Cech 1999), while the remainder have invented a way of activating a mechanism, termed ALT, which appears to maintain telomeres through recombination-based interchromosomal exchanges of sequence information (Bryan et al. 1995) ... While we believe that virtually all cancers must acquire the same six hallmark capabilities (A), their means of doing so will vary significantly, both mechanistically (see text) and chronologically (B) | Discourse Facet:  Hypothesis_Citation | Annotator:  G, |

Topic ID: D1406_TRAIN | Citance Number: 9 | Reference Article:  Hanahan.txt | Citing Article:  Tamburini.txt | Citation Marker Offset:  39797-39799 | Citation Marker:  63 | Citation Offset:  39590-39800 | Citation Text:  As may be true for hypoxia response genes, upregulation of proinflammatory genes in hemangiosarcoma also could result from selective pressures to create a favorable microenvironment for growth and survival [63] | Reference Offset:  ['15676-15928'] | Reference Text:  Further, inflammatory cells attracted to sites of neoplasia may promote (rather than eliminate) cancer cells (18, 22 and 46), another example of normal cells conscripted to enhance tumor growth potential, another means to acquire necessary capabilities | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1406_TRAIN | Citance Number: 10 | Reference Article:  Hanahan.txt | Citing Article:  Teferedegne.txt | Citation Marker Offset:  2227-2228 | Citation Marker:  3 | Citation Offset:  2067-2234 | Citation Text:  Neoplastic development represents cumulative genetic and epigenetic events leading to the emergence of cells that can attain a tumorigenic phenotype [1], [2], [3], [4] | Reference Offset:  ['14334-14599'] | Reference Text:  Looking forward in time, we believe that important new inroads will come from regarding tumors as complex tissues in which mutant cancer cells have conscripted and subverted normal cell types to serve as active collaborators in their neoplastic agenda (right panel) | Discourse Facet:  Hypothesis_Citation | Annotator:  G, |

Topic ID: D1406_TRAIN | Citance Number: 11 | Reference Article:  Hanahan.txt | Citing Article:  Teferedegne.txt | Citation Marker Offset:  25922-25923 | Citation Marker:  3 | Citation Offset:  25787-26092 | Citation Text:  In view of the evidence that many tumors occurring in nature arise from the selection of cells with genetic and/or epigenetic changes [3], one interpretation of our data is that the in vitro passage of VERO cells selected for the expansion of cells bearing alterations in the expression of specific miRNAs | Reference Offset:  ['3182-3432'] | Reference Text:  Transformation of cultured cells is itself a multistep process: rodent cells require at least two introduced genetic changes before they acquire tumorigenic competence, while their human counterparts are more difficult to transform (Hahn et al. 1999) | Discourse Facet:  Discussion_Citation | Annotator:  G, |

Topic ID: D1406_TRAIN | Citance Number: 12 | Reference Article:  Hanahan.txt | Citing Article:  Teferedegne.txt | Citation Marker Offset:  31582-31583 | Citation Marker:  3 | Citation Offset:  31296-31589 | Citation Text:  The phenomena of neoplastic development and neoplastic transformation, whether they occur in vivo or in vitro, are thought to represent the accumulation of a series of genetic and epigenetic alterations that disrupt the normal processes of cell division and tissue integrity [1], [2], [3], [4] | Reference Offset:  ['2207-2440', '20204-20433'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... The bottom line is that the antigrowth circuit converging onto Rb and the cell division cycle is, one way or another, disrupted in a majority of human cancers, defining the concept and a purpose of tumor suppressor loss in cancer | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1406_TRAIN | Citance Number: 13 | Reference Article:  Hanahan.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  16742-16768 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  16571-16769 | Citation Text:  A hallmark of cellular transformation is the ability of tumor cells to grow anchorage independently in semisolid medium and as tumors in model mice (Hahn et al., 1999 and Hanahan and Weinberg, 2000) | Reference Offset:  ['3182-3432', '3677-4023'] | Reference Text:  Transformation of cultured cells is itself a multistep process: rodent cells require at least two introduced genetic changes before they acquire tumorigenic competence, while their human counterparts are more difficult to transform (Hahn et al. 1999) ... Taken together, observations of human cancers and animal models argue that tumor development proceeds via a process formally analogous to Darwinian evolution, in which a succession of genetic changes, each conferring one or another type of growth advantage, leads to the progressive conversion of normal human cells into cancer cells ( 33 and 71) | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1406_TRAIN | Citance Number: 14 | Reference Article:  Hanahan.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  35535-35561 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  35426-35562 | Citation Text:  Sustained proliferation of cells in the presence of oncogenic signals is a major leap toward tumorigenicity (Hanahan and Weinberg, 2000) | Reference Offset:  ['4958-5368'] | Reference Text:  We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis | Discourse Facet:  Hypothesis_Citation | Annotator:  G, |

Topic ID: D1406_TRAIN | Citance Number: 15 | Reference Article:  Hanahan.txt | Citing Article:  Weinberg.txt | Citation Marker Offset:  17736-17762 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  17558-17763 | Citation Text:  For this reason, we side-stepped the issues of signal transduction biochemistry and focused instead on biology—on the phenotypes of cancer cells and the tumors that they formed (Hanahan and Weinberg, 2000) | Reference Offset:  ['394-769'] | Reference Text:  The foundation has been set in the discovery of mutations that produce oncogenes with dominant gain of function and tumor suppressor genes with recessive loss of function; both classes of cancer genes have been identified through their alteration in human and animal cancer cells and by their elicitation of cancer phenotypes in experimental models (Bishop and Weinberg 1996) | Discourse Facet:  Discussion_Citation | Annotator:  G, |

