Topic ID: D1406_TRAIN | Citance Number: 1 | Reference Article:  Hanahan.txt | Citing Article:  Coussens.txt | Citation Marker Offset:  34854-34856 | Citation Marker:  17 | Citation Offset:  34627-34857 | Citation Text:  Thus a new perspective has emerged, that tumors are complex multicellular enterprises, wherein ostensibly normal cells are conscripted by transformed cancer cells to make significant contributions to the tumor phenotype (6 and 17) | Reference Offset:  ['13389-14076', '14828-15928', '59336-59677'] | Reference Text:  It is, however, increasingly apparent that the growth deregulation within a tumor can only be explained once we understand the contributions of the ancillary cells present in a tumor—the apparently normal bystanders such as fibroblasts and endothelial cells—which must play key roles in driving tumor cell proliferation (Figure 3, right panel). Within normal tissue, cells are largely instructed to grow by their neighbors (paracrine signals) or via systemic (endocrine) signals. Cell-to-cell growth signaling is likely to operate in the vast majority of human tumors as well; virtually all are composed of several distinct cell types that appear to communicate via heterotypic signaling ... Heterotypic signaling between the diverse cell types within a tumor may ultimately prove to be as important in explaining tumor cell proliferation as the cancer cell-autonomous mechanisms enumerated above. For example, we suspect that many of the growth signals driving the proliferation of carcinoma cells originate from the stromal cell components of the tumor mass. While difficult to validate at present, such thinking recasts the logic of acquired GS autonomy: successful tumor cells are those that have acquired the ability to co-opt their normal neighbors by inducing them to release abundant fluxes of growth-stimulating signals (Skobe and Fusenig 1998). Indeed, in some tumors, these cooperating cells may eventually depart from normalcy, coevolving with their malignant neighbors in order to sustain the growth of the latter (58 and 72). Further, inflammatory cells attracted to sites of neoplasia may promote (rather than eliminate) cancer cells (18, 22 and 46), another example of normal cells conscripted to enhance tumor growth potential, another means to acquire necessary capabilities ... cancer development depends upon changes in the heterotypic interactions between incipient tumor cells and their normal neighbors. Moreover, once formed, virtually all types of human tumors, including their metastatic outgrowths, continue to harbor complex mixtures of several cell types that collaborate to create malignant growth (Figure 3) | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1406_TRAIN | Citance Number: 7 | Reference Article:  Hanahan.txt | Citing Article:  Hoffman.txt | Citation Marker Offset:  2253-2279 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  2180-2280 | Citation Text:  Tumorigenesis is a multistage process that involves multiple cell types (Hanahan and Weinberg, 2000) | Reference Offset:  ['2207-2440', '13389-14076', '59336-59677'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... It is, however, increasingly apparent that the growth deregulation within a tumor can only be explained once we understand the contributions of the ancillary cells present in a tumor—the apparently normal bystanders such as fibroblasts and endothelial cells—which must play key roles in driving tumor cell proliferation (Figure 3, right panel). Within normal tissue, cells are largely instructed to grow by their neighbors (paracrine signals) or via systemic (endocrine) signals. Cell-to-cell growth signaling is likely to operate in the vast majority of human tumors as well; virtually all are composed of several distinct cell types that appear to communicate via heterotypic signaling ... cancer development depends upon changes in the heterotypic interactions between incipient tumor cells and their normal neighbors. Moreover, once formed, virtually all types of human tumors, including their metastatic outgrowths, continue to harbor complex mixtures of several cell types that collaborate to create malignant growth (Figure 3) | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1406_TRAIN | Citance Number: 8 | Reference Article:  Hanahan.txt | Citing Article:  Lin.txt | Citation Marker Offset:  4280-4306 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  3990-4307 | Citation Text:  A high percentage of tumor cells that take on immortalized characteristics show telomerase activity Kim et al. 1994, Greider and Blackburn 1996, Shay and Bacchetti 1997 and Cong et al. 2002, and it has been suggested that hTERT expression may be one of the six key events common to cancer (Hanahan and Weinberg, 2000) | Reference Offset:  ['4958-5560', '35380-35656'] | Reference Text:  We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis. Each of these physiologic changes—novel capabilities acquired during tumor development—represents the successful breaching of an anticancer defense mechanism hardwired into cells and tissues ... Telomere maintenance is evident in virtually all types of malignant cells (Shay and Bacchetti 1997); 85%–90% of them succeed in doing so by upregulating expression of the telomerase enzyme, which adds hexanucleotide repeats onto the ends of telomeric DNA (Bryan and Cech 1999) | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1406_TRAIN | Citance Number: 9 | Reference Article:  Hanahan.txt | Citing Article:  Tamburini.txt | Citation Marker Offset:  39797-39799 | Citation Marker:  63 | Citation Offset:  39590-39800 | Citation Text:  As may be true for hypoxia response genes, upregulation of proinflammatory genes in hemangiosarcoma also could result from selective pressures to create a favorable microenvironment for growth and survival [63] | Reference Offset:  ['3752-4023', '49604-49854'] | Reference Text:  tumor development proceeds via a process formally analogous to Darwinian evolution, in which a succession of genetic changes, each conferring one or another type of growth advantage, leads to the progressive conversion of normal human cells into cancer cells ( 33 and 71) ... Invading and metastasizing cancer cells experience changing tissue microenvironments during their journeys, which can present novel matrix components. Accordingly, successful colonization of these new sites (both local and distant) demands adaptation | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1406_TRAIN | Citance Number: 10 | Reference Article:  Hanahan.txt | Citing Article:  Teferedegne.txt | Citation Marker Offset:  2227-2228 | Citation Marker:  3 | Citation Offset:  2067-2234 | Citation Text:  Neoplastic development represents cumulative genetic and epigenetic events leading to the emergence of cells that can attain a tumorigenic phenotype [1], [2], [3], [4] | Reference Offset:  ['2207-2440', '4958-5560', '56466-57737'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis. Each of these physiologic changes—novel capabilities acquired during tumor development—represents the successful breaching of an anticancer defense mechanism hardwired into cells and tissues ... The paths that cells take on their way to becoming malignant are highly variable. Within a given cancer type, mutation of particular target genes such as ras or p53 may be found in only a subset of otherwise histologically identical tumors. Further, mutations in certain oncogenes and tumor suppressor genes can occur early in some tumor progression pathways and late in others. As a consequence, the acquisition of biological capabilities such as resistance to apoptosis, sustained angiogenesis, and unlimited replicative potential can appear at different times during these various progressions. Accordingly, the particular sequence in which capabilities are acquired can vary widely, both among tumors of the same type and certainly between tumors of different types ( Figure 4). Furthermore, in certain tumors, a specific genetic event may, on its own, contribute only partially to the acquisition of a single capability, while in others, this event may aid in the simultaneous acquisition of several distinct capabilities. Nonetheless, we believe that independent of how the steps in these genetic pathways are arranged, the biological endpoints that are ultimately reached—the hallmark capabilities of cancer—will prove to be shared in common by all types of tumors | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1406_TRAIN | Citance Number: 11 | Reference Article:  Hanahan.txt | Citing Article:  Teferedegne.txt | Citation Marker Offset:  25922-25923 | Citation Marker:  3 | Citation Offset:  25787-25924 | Citation Text:  In view of the evidence that many tumors occurring in nature arise from the selection of cells with genetic and/or epigenetic changes [3] | Reference Offset:  ['3752-4023', '2207-2440'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... tumor development proceeds via a process formally analogous to Darwinian evolution, in which a succession of genetic changes, each conferring one or another type of growth advantage, leads to the progressive conversion of normal human cells into cancer cells ( 33 and 71) | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1406_TRAIN | Citance Number: 12 | Reference Article:  Hanahan.txt | Citing Article:  Teferedegne.txt | Citation Marker Offset:  31582-31583 | Citation Marker:  3 | Citation Offset:  31296-31589 | Citation Text:  The phenomena of neoplastic development and neoplastic transformation, whether they occur in vivo or in vitro, are thought to represent the accumulation of a series of genetic and epigenetic alterations that disrupt the normal processes of cell division and tissue integrity [1], [2], [3], [4] | Reference Offset:  ['2207-2440', '4958-5560'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis. Each of these physiologic changes—novel capabilities acquired during tumor development—represents the successful breaching of an anticancer defense mechanism hardwired into cells and tissues | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1406_TRAIN | Citance Number: 13 | Reference Article:  Hanahan.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  16742-16768 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  16571-16769 | Citation Text:  A hallmark of cellular transformation is the ability of tumor cells to grow anchorage independently in semisolid medium and as tumors in model mice (Hahn et al., 1999 and Hanahan and Weinberg, 2000) | Reference Offset:  ['4958-5560', '45791-46333'] | Reference Text:  We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis. Each of these physiologic changes—novel capabilities acquired during tumor development—represents the successful breaching of an anticancer defense mechanism hardwired into cells and tissues ... Sooner or later during the development of most types of human cancer, primary tumor masses spawn pioneer cells that move out, invade adjacent tissues, and thence travel to distant sites where they may succeed in founding new colonies. These distant settlements of tumor cells—metastases—are the cause of 90% of human cancer deaths (Sporn 1996). The capability for invasion and metastasis enables cancer cells to escape the primary tumor mass and colonize new terrain in the body where, at least initially, nutrients and space are not limiting | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1406_TRAIN | Citance Number: 14 | Reference Article:  Hanahan.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  35535-35561 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  35426-35562 | Citation Text:  Sustained proliferation of cells in the presence of oncogenic signals is a major leap toward tumorigenicity (Hanahan and Weinberg, 2000) | Reference Offset:  ['6631-7357'] | Reference Text:  no type of normal cell can proliferate in the absence of such stimulatory signals. Many of the oncogenes in the cancer catalog act by mimicking normal growth signaling in one way or another. Dependence on growth signaling is apparent when propagating normal cells in culture, which typically proliferate only when supplied with appropriate diffusible mitogenic factors and a proper substratum for their integrins. Such behavior contrasts strongly with that of tumor cells, which invariably show a greatly reduced dependence on exogenous growth stimulation. The conclusion is that tumor cells generate many of their own growth signals, thereby reducing their dependence on stimulation from their normal tissue microenvironment | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1406_TRAIN | Citance Number: 15 | Reference Article:  Hanahan.txt | Citing Article:  Weinberg.txt | Citation Marker Offset:  17736-17762 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  17407-17763 | Citation Text:  at the time, as is still the case 15 years later, our understanding of how most of these signal-processing circuits actually operate was fragmentary. For this reason, we side-stepped the issues of signal transduction biochemistry and focused instead on biology—on the phenotypes of cancer cells and the tumors that they formed (Hanahan and Weinberg, 2000) | Reference Offset:  ['1369-2204', '4958-5560'] | Reference Text:  We foresee cancer research developing into a logical science, where the complexities of the disease, described in the laboratory and clinic, will become understandable in terms of a small number of underlying principles. Some of these principles are even now in the midst of being codified. We discuss one set of them in the present essay: rules that govern the transformation of normal human cells into malignant cancers. We suggest that research over the past decades has revealed a small number of molecular, biochemical, and cellular traits—acquired capabilities—shared by most and perhaps all types of human cancer. Our faith in such simplification derives directly from the teachings of cell biology that virtually all mammalian cells carry a similar molecular machinery regulating their proliferation, differentiation, and death ... We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis. Each of these physiologic changes—novel capabilities acquired during tumor development—represents the successful breaching of an anticancer defense mechanism hardwired into cells and tissues | Discourse Facet:  Discussion_Citation | Annotator:  B, |

