Topic ID: D1406_TRAIN | Citance Number: 1 | Reference Article:  Hanahan.txt | Citing Article:  Coussens.txt | Citation Marker Offset:  34854-34856 | Citation Marker:  17 | Citation Offset:  34627-34857 | Citation Text:  Thus a new perspective has emerged, that tumors are complex multicellular enterprises, wherein ostensibly normal cells are conscripted by transformed cancer cells to make significant contributions to the tumor phenotype (6 and 17) | Reference Offset:  ['13869-14076', '14828-15195', '15676-15928'] | Reference Text:  Cell-to-cell growth signaling is likely to operate in the vast majority of human tumors as well; virtually all are composed of several distinct cell types that appear to communicate via heterotypic signaling ... Heterotypic signaling between the diverse cell types within a tumor may ultimately prove to be as important in explaining tumor cell proliferation as the cancer cell-autonomous mechanisms enumerated above. For example, we suspect that many of the growth signals driving the proliferation of carcinoma cells originate from the stromal cell components of the tumor mass ... Further, inflammatory cells attracted to sites of neoplasia may promote (rather than eliminate) cancer cells (18, 22 and 46), another example of normal cells conscripted to enhance tumor growth potential, another means to acquire necessary capabilities | Discourse Facet:  Discussion_Citation | Annotator:  D, |
Topic ID: D1406_TRAIN | Citance Number: 10 | Reference Article:  Hanahan.txt | Citing Article:  Teferedegne.txt | Citation Marker Offset:  2227-2228 | Citation Marker:  3 | Citation Offset:  2067-2234 | Citation Text:  Neoplastic development represents cumulative genetic and epigenetic events leading to the emergence of cells that can attain a tumorigenic phenotype [1], [2], [3], [4] | Reference Offset:  ['2207-2440', '4958-5368', '59466-59677'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis ... Moreover, once formed, virtually all types of human tumors, including their metastatic outgrowths, continue to harbor complex mixtures of several cell types that collaborate to create malignant growth (Figure 3) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1406_TRAIN | Citance Number: 11 | Reference Article:  Hanahan.txt | Citing Article:  Teferedegne.txt | Citation Marker Offset:  25922-25923 | Citation Marker:  3 | Citation Offset:  25787-26092 | Citation Text:  In view of the evidence that many tumors occurring in nature arise from the selection of cells with genetic and/or epigenetic changes [3], one interpretation of our data is that the in vitro passage of VERO cells selected for the expansion of cells bearing alterations in the expression of specific miRNAs | Reference Offset:  ['2207-2440', '4958-5368', '59466-59677'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis ... Moreover, once formed, virtually all types of human tumors, including their metastatic outgrowths, continue to harbor complex mixtures of several cell types that collaborate to create malignant growth (Figure 3) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1406_TRAIN | Citance Number: 12 | Reference Article:  Hanahan.txt | Citing Article:  Teferedegne.txt | Citation Marker Offset:  31582-31583 | Citation Marker:  3 | Citation Offset:  31296-31589 | Citation Text:  The phenomena of neoplastic development and neoplastic transformation, whether they occur in vivo or in vitro, are thought to represent the accumulation of a series of genetic and epigenetic alterations that disrupt the normal processes of cell division and tissue integrity [1], [2], [3], [4] | Reference Offset:  ['2207-2440', '4958-5368', '59466-59677'] | Reference Text:  Several lines of evidence indicate that tumorigenesis in humans is a multistep process and that these steps reflect genetic alterations that drive the progressive transformation of normal human cells into highly malignant derivatives ... We suggest that the vast catalog of cancer cell genotypes is a manifestation of six essential alterations in cell physiology that collectively dictate malignant growth (Figure 1): self-sufficiency in growth signals, insensitivity to growth-inhibitory (antigrowth) signals, evasion of programmed cell death (apoptosis), limitless replicative potential, sustained angiogenesis, and tissue invasion and metastasis ... Moreover, once formed, virtually all types of human tumors, including their metastatic outgrowths, continue to harbor complex mixtures of several cell types that collaborate to create malignant growth (Figure 3) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1406_TRAIN | Citance Number: 13 | Reference Article:  Hanahan.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  16742-16768 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  16571-16769 | Citation Text:  A hallmark of cellular transformation is the ability of tumor cells to grow anchorage independently in semisolid medium and as tumors in model mice (Hahn et al., 1999 and Hanahan and Weinberg, 2000) | Reference Offset:  ['47177-47341', '47710-47901'] | Reference Text:  Several classes of proteins involved in the tethering of cells to their surroundings in a tissue are altered in cells possessing invasive or metastatic capabilities ... The most widely observed alteration in cell-to-environment interactions in cancer involves E-cadherin, a homotypic cell-to-cell interaction molecule ubiquitously expressed on epithelial cells | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1406_TRAIN | Citance Number: 14 | Reference Article:  Hanahan.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  35535-35561 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  35426-35562 | Citation Text:  Sustained proliferation of cells in the presence of oncogenic signals is a major leap toward tumorigenicity (Hanahan and Weinberg, 2000) | Reference Offset:  ['11090-11418', '28836-29049'] | Reference Text:  We suspect that growth signaling pathways suffer deregulation in all human tumors. Although this point is hard to prove rigorously at present, the clues are abundant (Hunter 1997). For example, in the best studied of tumors—human colon carcinomas—about half of the tumors bear mutant ras oncogenes ( Kinzler and Vogelstein 1996) ... Resistance to apoptosis can be acquired by cancer cells through a variety of strategies. Surely, the most commonly occurring loss of a proapoptotic regulator through mutation involves the p53 tumor suppressor gene | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1406_TRAIN | Citance Number: 15 | Reference Article:  Hanahan.txt | Citing Article:  Weinberg.txt | Citation Marker Offset:  17736-17762 | Citation Marker:  Hanahan and Weinberg, 2000 | Citation Offset:  17558-17763 | Citation Text:  For this reason, we side-stepped the issues of signal transduction biochemistry and focused instead on biology—on the phenotypes of cancer cells and the tumors that they formed (Hanahan and Weinberg, 2000) | Reference Offset:  ['56845-57247'] | Reference Text:  As a consequence, the acquisition of biological capabilities such as resistance to apoptosis, sustained angiogenesis, and unlimited replicative potential can appear at different times during these various progressions. Accordingly, the particular sequence in which capabilities are acquired can vary widely, both among tumors of the same type and certainly between tumors of different types ( Figure 4) | Discourse Facet:  Discussion_Citation | Annotator:  D, |

