Topic ID: D1405_TRAIN | Citance Number: 1 | Reference Article:  Campbell.txt | Citing Article:  Gupta.txt | Citation Marker Offset:  28015-28017 | Citation Marker:  41 | Citation Offset:  27738-28021 | Citation Text:  We have also excluded the possibility that some of the common iPS cell- and iPS-BC-enriched genes are upregulated as a consequence of ectopic reactivation of lentiviral OCT4 gene in iPS-BCs, because these genes had not been reported to be the Oct4 targets in previous studies [41-43] | Reference Offset:  ['12590-13371', '13927-14151'] | Reference Text:  To validate our premise that this analysis would lead to the identification of Oct4 direct transcriptional targets, we performed a screen scanning the genomic region from 2 kb upstream of the transcriptional start site to 2 kb downstream from the 3-prime end of the transcribed region of the correlated genes for the presence of neighboring Oct4 and dimerization partner Sox2 binding sites (Supplemental Material and Methods). As a result of this analysis 392 genes were found to possess at least one putative composite binding site (Supplemental Table S4) with several genes such as Oct1/Pou2f1, Smyd3, and Ranbp17 containing multiple (17, 16, and 14 respectively) putative sites, which may reflect a requirement for strict regulatory control of these genes throughout development ... Validation of 28 of these loci by chromatin immunoprecipitation (ChIP) followed by quantitative real-time PCR (QRT-PCR) confirmed the identification of 26 Oct4 direct transcriptional targets (Figure 3; Supplemental Table S6) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1405_TRAIN | Citance Number: 7 | Reference Article:  Campbell.txt | Citing Article:  Pardo.txt | Citation Marker Offset:  39018-39039 | Citation Marker:  Campbell et al., 2007 | Citation Offset:  38755-39136 | Citation Text:  For the analysis of expression at different stages of differentiation, data were obtained for 43 mouse samples in StemBase (Sandie et al., 2009), originating from 16 studies with Affymetrix MOE430A microarray chips, as used in an Oct4 expression profiling study (Campbell et al., 2007) covering murine ESCs, embryonal carcinoma cell lines, and several early differentiated lineages | Reference Offset:  ['4961-5496', '7655-8091', '28005-28248'] | Reference Text:  To address these questions and further elucidate the factors that mediate stem cell function, we undertook an analysis to identify genes whose expression is correlated to Oct4. With the understanding that coexpression of genes may imply coregulation and participation in similar biological processes [17], we sought to identify genes which were correlated to Oct4 transcript expression in a wide variety of stem/progenitor populations which were analyzed by Affymetrix GeneChip technology as part of the Stem Cell Genomics Project [18] ... A set of 45 murine samples collected as part of the Stem Cell Genomics Project and deposited in StemBase (http://www.StemBase.ca/) [18] were selected to form the basis of this analysis (Supplemental Table S1). A wide variety of samples comprising adult and embryonic stem cells and their differentiated derivatives were collected in biological triplicate and hybridized to the Affymetrix MOE430 GeneChip Set for a total of 270 GeneChips ... Through the use of gene expression data compiled from a vast collection of adult and embryonic stem cells and their differentiated derivatives we have performed a robust statistical analytic method to identify genes that are correlated to Oct4 | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1405_TRAIN | Citance Number: 8 | Reference Article:  Campbell.txt | Citing Article:  Sharov.txt | Citation Marker Offset:  23764-23766 | Citation Marker:  31 | Citation Offset:  23680-23767 | Citation Text:  Some chromatin remodeling proteins are also known for suppressing gene expressions [31] | Reference Offset:  ['14857-15384', '17447-17682'] | Reference Text:  Chromatin is remodeled into transcriptionally permissive or repressive conformations by complexes that covalently modify histones, act in an ATP-dependent manner to reposition nucleosomes along DNA, or facilitate histone exchange. Several complexes have been identified including SWI/SNF, ISWI, INO80, and M1-2/CHD, and Trithorax group (TrxG), and Polycomb group (PcG) proteins which mediate chromatin remodeling by facilitating epigenetic modification of histone tails to activate or repress gene expression, respectively [28] ... The localization of Suz12, a member of Polycomb Repressor Complex 2 (PRC2) at many Oct4 repressed loci in ESC [37], [39] provides indication that Oct4-Polycomb interaction may play a significant role in the active repression of lineage | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1405_TRAIN | Citance Number: 9 | Reference Article:  Campbell.txt | Citing Article:  Sharov.txt | Citation Marker Offset:  25948-25950 | Citation Marker:  31 | Citation Offset:  25718-25951 | Citation Text:  The group of "genes associated with cell proliferation" included major regulators of cell cycle (e.g., Mif, Mybl2, Myc, Mycn), DNA metabolism/repair genes, growth factors, and others, which are consistent with the earlier report [31] | Reference Offset:  ['20370-20539', '23446-23851'] | Reference Text:  Assessment of GO terms revealed that 38 cell-cycle related genes were positively correlated to Oct4 including Cdc25a, Gspt1, Ppp1r8, Ccnb2, Ccne1, Ccna2, Ccnb1, and Ccnf ... Thirty genes implicated in DNA damage and repair, were positively correlated to Oct4. Members of the Brca1 associated surveillance complex (BASC) including Brca1, Msh2, Mre11a, Rad51, Blm, Chek1, as well as Parp1, Trp53, Fancd2, Tdrd7, and Xrcc5, were included. The validation of Trp53, Tdrd7, Brca1, and Parp1 as direct Oct4 targets strengthens the importance of this group of genes in stem cell function | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1405_TRAIN | Citance Number: 10 | Reference Article:  Campbell.txt | Citing Article:  Yang,Ho.txt | Citation Marker Offset:  40455-40476 | Citation Marker:  Campbell et al., 2007 | Citation Offset:  40118-40504 | Citation Text:  By qRT-PCR using specific primers, we have detected the augmentation of Oct4 and Bmi1, which modulate stem cell self-renewal and multipotency, in tumor tissue and circulating CD45−CD90+ cells from liver cancer patients, thereby providing evidence of the stem cell nature of these cells and their potential role in hepatocarcinogenesis ( Campbell et al., 2007 and Bruggeman et al., 2007) | Reference Offset:  ['3150-3481', '28484-28792'] | Reference Text:  Oct4 (Pou5f1), a POU-homeodomain transcription factor, plays a central role in self-renewal, pluripotency, and lineage commitment. Initially expressed as a maternal transcript, Oct4 is required for the formation of a pluripotent inner cell mass [2]. Moreover, strict control of Oct4 expression is necessary to maintain ESC identity ... Importantly, our experiments have revealed hitherto unappreciated roles for Oct4 for firstly, regulating chromatin structure in a state consistent with self-renewal and pluripotency, and secondly, facilitating the expression of genes that keeps the cell poised to respond to cues that lead to differentiation | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1405_TRAIN | Citance Number: 11 | Reference Article:  Campbell.txt | Citing Article:  Zuccotti,Merico.txt | Citation Marker Offset:  11160-11162 | Citation Marker:  36 | Citation Offset:  11021-11215 | Citation Text:  Oct-4-dependent transcriptional networks have been described regulating self-renewal and pluripotency in human [33,34,43,44] and mouse [32,36] ES and EC cells and in human mesenchymal cells [44] | Reference Offset:  ['4961-5496', '7655-8091', '14329-14580'] | Reference Text:  To address these questions and further elucidate the factors that mediate stem cell function, we undertook an analysis to identify genes whose expression is correlated to Oct4. With the understanding that coexpression of genes may imply coregulation and participation in similar biological processes [17], we sought to identify genes which were correlated to Oct4 transcript expression in a wide variety of stem/progenitor populations which were analyzed by Affymetrix GeneChip technology as part of the Stem Cell Genomics Project [18] ... A set of 45 murine samples collected as part of the Stem Cell Genomics Project and deposited in StemBase (http://www.StemBase.ca/) [18] were selected to form the basis of this analysis (Supplemental Table S1). A wide variety of samples comprising adult and embryonic stem cells and their differentiated derivatives were collected in biological triplicate and hybridized to the Affymetrix MOE430 GeneChip Set for a total of 270 GeneChips ... Further examination of these directly regulated target genes in the context of the correlated gene-list reveals important insights into how Oct4 regulates pivotal pathways involved in controlling pluripotency, self-renewal and early lineage commitment | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1405_TRAIN | Citance Number: 12 | Reference Article:  Campbell.txt | Citing Article:  Zuccotti,Merico.txt | Citation Marker Offset:  8808-8810 | Citation Marker:  36 | Citation Offset:  8605-8811 | Citation Text:  Additional studies using microarray analysis of gene transcription in ES cells, have described Oct-4 involvement in the regulation of chromatin modelling and chromatin-mediated transcription regulation [36] | Reference Offset:  ['15387-15991', '16947-17445'] | Reference Text:  Thirty five genes implicated in chromatin remodeling were correlated to Oct4. Putative positive target genes include SWI/SNF members Smarcc1, AT rich interactive domain (Swi1 like) containing proteins (ARID domains) Arid1a, Arid5b, Jarid1b and Jarid2, which was confirmed as a direct Oct4 target. Notably, these ARID domain containing proteins, a subset of the Jumonji C family, have recently been associated with histone demethylase activity [29]. Several other genes containing MYST, SET, and CHROMO, and BROMO domains, which facilitate or recognize specific histone modifications, were also identified ... Importantly, several members of the TrxG and PcG of transcription factors such as Ash1l, Suz12, Ash2l, Phc1, and Rnf134, Bmi1, and Phc3 were correlated to Oct4, with the five latter genes validated as Oct4 targets. Diverse functions for PcG and TrxG genes in cancer, cell cycle control, and stem cell function have recently been described [35], [36], [37], [38]. The direct transcriptional regulation of several members of these complexes places Oct4 central to the coordination of these activities | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1405_TRAIN | Citance Number: 13 | Reference Article:  Campbell.txt | Citing Article:  Zuccotti.txt | Citation Marker Offset:  13427-13429 | Citation Marker:  32 | Citation Offset:  13273-13567 | Citation Text:  Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs [32] (Figure ​(Figure5)5) and 44 genes for which a direct or indirect action of OCT4 on their expression will need to be further investigated | Reference Offset:  ['4961-5496', '9544-9785', '29008-29265'] | Reference Text:  To address these questions and further elucidate the factors that mediate stem cell function, we undertook an analysis to identify genes whose expression is correlated to Oct4. With the understanding that coexpression of genes may imply coregulation and participation in similar biological processes [17], we sought to identify genes which were correlated to Oct4 transcript expression in a wide variety of stem/progenitor populations which were analyzed by Affymetrix GeneChip technology as part of the Stem Cell Genomics Project [18] ... As a result of this analysis 1299 probesets (1155 unique transcripts) were found to be correlated to Oct4. Seventy-five probesets (69 transcripts) were negatively correlated, while 1224 probesets (1086 transcripts) were positively correlated ... Finally, we have identified 26 direct Oct4 transcriptional targets which may represent candidate regulatory nodes by which cell fate decisions could be directed to facilitate the use of hESCs in therapeutic and regenerative medicine (Figure 4A and Table S2) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1405_TRAIN | Citance Number: 14 | Reference Article:  Campbell.txt | Citing Article:  Zuccotti.txt | Citation Marker Offset:  15024-15026 | Citation Marker:  32 | Citation Offset:  14874-15031 | Citation Text:  Almost half (37] of the Oct4-OETN genes are known Oct4 companions in ESCs, as their expression is directly regulated by [5,27,28] or correlated with [32]Oct4 | Reference Offset:  ['4961-5496', '9544-9785', '29008-29265'] | Reference Text:  To address these questions and further elucidate the factors that mediate stem cell function, we undertook an analysis to identify genes whose expression is correlated to Oct4. With the understanding that coexpression of genes may imply coregulation and participation in similar biological processes [17], we sought to identify genes which were correlated to Oct4 transcript expression in a wide variety of stem/progenitor populations which were analyzed by Affymetrix GeneChip technology as part of the Stem Cell Genomics Project [18] ... As a result of this analysis 1299 probesets (1155 unique transcripts) were found to be correlated to Oct4. Seventy-five probesets (69 transcripts) were negatively correlated, while 1224 probesets (1086 transcripts) were positively correlated ... Finally, we have identified 26 direct Oct4 transcriptional targets which may represent candidate regulatory nodes by which cell fate decisions could be directed to facilitate the use of hESCs in therapeutic and regenerative medicine (Figure 4A and Table S2) | Discourse Facet:  Results_Citation | Annotator:  B, |

