Topic ID: D1405_TRAIN | Citance Number: 1 | Reference Article:  Campbell.txt | Citing Article:  Gupta.txt | Citation Marker Offset:  28015-28017 | Citation Marker:  41 | Citation Offset:  27738-28021 | Citation Text:  We have also excluded the possibility that some of the common iPS cell- and iPS-BC-enriched genes are upregulated as a consequence of ectopic reactivation of lentiviral OCT4 gene in iPS-BCs, because these genes had not been reported to be the Oct4 targets in previous studies [41-43] | Reference Offset:  ['12507-12564', '13927-14280', '20370-20539'] | Reference Text:  Table 1  Categories of Genes Identified as Oct4 Correlated ... Validation of 28 of these loci by chromatin immunoprecipitation (ChIP) followed by quantitative real-time PCR (QRT-PCR) confirmed the identification of 26 Oct4 direct transcriptional targets (Figure 3; Supplemental Table S6). Notably, since the completion of our studies, these findings have been confirmed by several groups [11], [12], [25], [26], [27] ... Assessment of GO terms revealed that 38 cell-cycle related genes were positively correlated to Oct4 including Cdc25a, Gspt1, Ppp1r8, Ccnb2, Ccne1, Ccna2, Ccnb1, and Ccnf | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1405_TRAIN | Citance Number: 7 | Reference Article:  Campbell.txt | Citing Article:  Pardo.txt | Citation Marker Offset:  39018-39039 | Citation Marker:  Campbell et al., 2007 | Citation Offset:  38755-39136 | Citation Text:  For the analysis of expression at different stages of differentiation, data were obtained for 43 mouse samples in StemBase (Sandie et al., 2009), originating from 16 studies with Affymetrix MOE430A microarray chips, as used in an Oct4 expression profiling study (Campbell et al., 2007) covering murine ESCs, embryonal carcinoma cell lines, and several early differentiated lineages | Reference Offset:  ['5138-5496', '7655-8091', '28005-28248'] | Reference Text:  With the understanding that coexpression of genes may imply coregulation and participation in similar biological processes [17], we sought to identify genes which were correlated to Oct4 transcript expression in a wide variety of stem/progenitor populations which were analyzed by Affymetrix GeneChip technology as part of the Stem Cell Genomics Project [18] ... A set of 45 murine samples collected as part of the Stem Cell Genomics Project and deposited in StemBase (http://www.StemBase.ca/) [18] were selected to form the basis of this analysis (Supplemental Table S1). A wide variety of samples comprising adult and embryonic stem cells and their differentiated derivatives were collected in biological triplicate and hybridized to the Affymetrix MOE430 GeneChip Set for a total of 270 GeneChips ... Through the use of gene expression data compiled from a vast collection of adult and embryonic stem cells and their differentiated derivatives we have performed a robust statistical analytic method to identify genes that are correlated to Oct4 | Discourse Facet:  Method_Citation | Annotator:  D, |

Topic ID: D1405_TRAIN | Citance Number: 8 | Reference Article:  Campbell.txt | Citing Article:  Sharov.txt | Citation Marker Offset:  23764-23766 | Citation Marker:  31 | Citation Offset:  23680-23767 | Citation Text:  Some chromatin remodeling proteins are also known for suppressing gene expressions [31] | Reference Offset:  ['11767-11983', '20370-20539', '21855-22176'] | Reference Text:  This analysis revealed that the categories transcriptional regulation, intracellular signaling, mRNA splicing, cell cycle, DNA repair, and chromatin were highly represented within the positively Oct4 correlated genes ... Assessment of GO terms revealed that 38 cell-cycle related genes were positively correlated to Oct4 including Cdc25a, Gspt1, Ppp1r8, Ccnb2, Ccne1, Ccna2, Ccnb1, and Ccnf ... Inactivation of pRb is required for self-renewal; activation of pRb is obligatory for cell cycle exit and differentiation. An imbalance in either of these processes, possibly emanating from deregulated signaling from the stem cell niche or mutations in the key regulators would lead to unrestrained cellular proliferation | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1405_TRAIN | Citance Number: 9 | Reference Article:  Campbell.txt | Citing Article:  Sharov.txt | Citation Marker Offset:  25948-25950 | Citation Marker:  31 | Citation Offset:  25718-25951 | Citation Text:  The group of "genes associated with cell proliferation" included major regulators of cell cycle (e.g., Mif, Mybl2, Myc, Mycn), DNA metabolism/repair genes, growth factors, and others, which are consistent with the earlier report [31] | Reference Offset:  ['15088-15384', '28484-28792'] | Reference Text:  Several complexes have been identified including SWI/SNF, ISWI, INO80, and M1-2/CHD, and Trithorax group (TrxG), and Polycomb group (PcG) proteins which mediate chromatin remodeling by facilitating epigenetic modification of histone tails to activate or repress gene expression, respectively [28] ... Importantly, our experiments have revealed hitherto unappreciated roles for Oct4 for firstly, regulating chromatin structure in a state consistent with self-renewal and pluripotency, and secondly, facilitating the expression of genes that keeps the cell poised to respond to cues that lead to differentiation | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1405_TRAIN | Citance Number: 10 | Reference Article:  Campbell.txt | Citing Article:  Yang,Ho.txt | Citation Marker Offset:  40455-40476 | Citation Marker:  Campbell et al., 2007 | Citation Offset:  40118-40504 | Citation Text:  By qRT-PCR using specific primers, we have detected the augmentation of Oct4 and Bmi1, which modulate stem cell self-renewal and multipotency, in tumor tissue and circulating CD45−CD90+ cells from liver cancer patients, thereby providing evidence of the stem cell nature of these cells and their potential role in hepatocarcinogenesis ( Campbell et al., 2007 and Bruggeman et al., 2007) | Reference Offset:  ['16947-17308', '29376-29985'] | Reference Text:  Importantly, several members of the TrxG and PcG of transcription factors such as Ash1l, Suz12, Ash2l, Phc1, and Rnf134, Bmi1, and Phc3 were correlated to Oct4, with the five latter genes validated as Oct4 targets. Diverse functions for PcG and TrxG genes in cancer, cell cycle control, and stem cell function have recently been described [35], [36], [37], [38] ... The expression of Oct4 in various forms of human cancer [8], [9] and a recently described role for Oct4 in adult stem cells [10] and the expansion of epithelial progenitor cells [7] supports the theory that cancer is a disease of stem cells. This theory postulates that cancers arise in stem cells or early committed progenitors [58] due to their inability to differentiate in a regulated fashion. Oct4 directly regulates the transcription of genes such as Trp53, Brca1, Parp1, and Bmi1 which play a central role in a cell's proclivity to undergo transformation, apoptosis, senescence, and now differentiation | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1405_TRAIN | Citance Number: 11 | Reference Article:  Campbell.txt | Citing Article:  Zuccotti,Merico.txt | Citation Marker Offset:  11160-11162 | Citation Marker:  36 | Citation Offset:  11021-11215 | Citation Text:  Oct-4-dependent transcriptional networks have been described regulating self-renewal and pluripotency in human [33,34,43,44] and mouse [32,36] ES and EC cells and in human mesenchymal cells [44] | Reference Offset:  ['7441-7595', '31285-31529'] | Reference Text:  Importantly, our data suggests that Oct4 maintains stem cell identity by targeting key regulatory genes which play critical roles in determining cell fate ... Importantly, our experiments have defined how Oct4, as the master regulator of embryonic stem cell function, plays a central role in regulating key genes in pivotal pathways involved in controlling pluripotency, self-renewal and differentiation | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1405_TRAIN | Citance Number: 12 | Reference Article:  Campbell.txt | Citing Article:  Zuccotti,Merico.txt | Citation Marker Offset:  8808-8810 | Citation Marker:  36 | Citation Offset:  8605-8811 | Citation Text:  Additional studies using microarray analysis of gene transcription in ES cells, have described Oct-4 involvement in the regulation of chromatin modelling and chromatin-mediated transcription regulation [36] | Reference Offset:  ['15387-15463', '28484-28792'] | Reference Text:  Thirty five genes implicated in chromatin remodeling were correlated to Oct4 ... Importantly, our experiments have revealed hitherto unappreciated roles for Oct4 for firstly, regulating chromatin structure in a state consistent with self-renewal and pluripotency, and secondly, facilitating the expression of genes that keeps the cell poised to respond to cues that lead to differentiation | Discourse Facet:  Results_Citation | Annotator:  D, |

Topic ID: D1405_TRAIN | Citance Number: 13 | Reference Article:  Campbell.txt | Citing Article:  Zuccotti.txt | Citation Marker Offset:  13427-13429 | Citation Marker:  32 | Citation Offset:  13273-13567 | Citation Text:  Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs [32] (Figure ​(Figure5)5) and 44 genes for which a direct or indirect action of OCT4 on their expression will need to be further investigated | Reference Offset:  ['9544-9785', '15387-15463'] | Reference Text:  As a result of this analysis 1299 probesets (1155 unique transcripts) were found to be correlated to Oct4. Seventy-five probesets (69 transcripts) were negatively correlated, while 1224 probesets (1086 transcripts) were positively correlated ... Thirty five genes implicated in chromatin remodeling were correlated to Oct4 | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1405_TRAIN | Citance Number: 14 | Reference Article:  Campbell.txt | Citing Article:  Zuccotti.txt | Citation Marker Offset:  15024-15026 | Citation Marker:  32 | Citation Offset:  14874-15031 | Citation Text:  Almost half (37] of the Oct4-OETN genes are known Oct4 companions in ESCs, as their expression is directly regulated by [5,27,28] or correlated with [32]Oct4 | Reference Offset:  ['9544-9785', '15387-15463'] | Reference Text:  As a result of this analysis 1299 probesets (1155 unique transcripts) were found to be correlated to Oct4. Seventy-five probesets (69 transcripts) were negatively correlated, while 1224 probesets (1086 transcripts) were positively correlated ... Thirty five genes implicated in chromatin remodeling were correlated to Oct4 | Discourse Facet:  Discussion_Citation | Annotator:  D, |

