Topic ID: D1405_TRAIN | Citance Number: 1 | Reference Article:  Campbell.txt | Citing Article:  Gupta.txt | Citation Marker Offset:  28015-28017 | Citation Marker:  41 | Citation Offset:  27738-28021 | Citation Text:  We have also excluded the possibility that some of the common iPS cell- and iPS-BC-enriched genes are upregulated as a consequence of ectopic reactivation of lentiviral OCT4 gene in iPS-BCs, because these genes had not been reported to be the Oct4 targets in previous studies [41-43] | Reference Offset:  ['11767-12426'] | Reference Text:  This analysis revealed that the categories transcriptional regulation, intracellular signaling, mRNA splicing, cell cycle, DNA repair, and chromatin were highly represented within the positively Oct4 correlated genes. Categories highly represented within the negatively correlated genes included transcriptional regulation, protein modification, transport, intracellular signaling, and apoptosis. A summary of these findings is provided in Figure 2 with representative genes in highly enriched categories provided in Table 1. Of note, these findings are highly consistent with a previously published GO analysis performed following Oct4 knockdown in hESC [25] | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1405_TRAIN | Citance Number: 7 | Reference Article:  Campbell.txt | Citing Article:  Pardo.txt | Citation Marker Offset:  39018-39039 | Citation Marker:  Campbell et al., 2007 | Citation Offset:  38755-39136 | Citation Text:  For the analysis of expression at different stages of differentiation, data were obtained for 43 mouse samples in StemBase (Sandie et al., 2009), originating from 16 studies with Affymetrix MOE430A microarray chips, as used in an Oct4 expression profiling study (Campbell et al., 2007) covering murine ESCs, embryonal carcinoma cell lines, and several early differentiated lineages | Reference Offset:  ['7865-8091'] | Reference Text:  A wide variety of samples comprising adult and embryonic stem cells and their differentiated derivatives were collected in biological triplicate and hybridized to the Affymetrix MOE430 GeneChip Set for a total of 270 GeneChips | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1405_TRAIN | Citance Number: 8 | Reference Article:  Campbell.txt | Citing Article:  Sharov.txt | Citation Marker Offset:  23764-23766 | Citation Marker:  31 | Citation Offset:  23680-23767 | Citation Text:  Some chromatin remodeling proteins are also known for suppressing gene expressions [31] | Reference Offset:  ['14857-15086'] | Reference Text:  Chromatin is remodeled into transcriptionally permissive or repressive conformations by complexes that covalently modify histones, act in an ATP-dependent manner to reposition nucleosomes along DNA, or facilitate histone exchange | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1405_TRAIN | Citance Number: 9 | Reference Article:  Campbell.txt | Citing Article:  Sharov.txt | Citation Marker Offset:  25948-25950 | Citation Marker:  31 | Citation Offset:  25718-25951 | Citation Text:  The group of "genes associated with cell proliferation" included major regulators of cell cycle (e.g., Mif, Mybl2, Myc, Mycn), DNA metabolism/repair genes, growth factors, and others, which are consistent with the earlier report [31] | Reference Offset:  ['21629-21853', '21855-21976', '21978-22176'] | Reference Text:  Based upon this analysis it is predicted that alterations in the expression of Oct4 correlated genes such as Ccnf or Nipp1 that impact the functional status of pRb (or pRb family member p107) would have profound consequences ... Inactivation of pRb is required for self-renewal; activation of pRb is obligatory for cell cycle exit and differentiation ... An imbalance in either of these processes, possibly emanating from deregulated signaling from the stem cell niche or mutations in the key regulators would lead to unrestrained cellular proliferation | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1405_TRAIN | Citance Number: 10 | Reference Article:  Campbell.txt | Citing Article:  Yang,Ho.txt | Citation Marker Offset:  40455-40476 | Citation Marker:  Campbell et al., 2007 | Citation Offset:  40118-40504 | Citation Text:  By qRT-PCR using specific primers, we have detected the augmentation of Oct4 and Bmi1, which modulate stem cell self-renewal and multipotency, in tumor tissue and circulating CD45-CD90+ cells from liver cancer patients, thereby providing evidence of the stem cell nature of these cells and their potential role in hepatocarcinogenesis ( Campbell et al., 2007 and Bruggeman et al., 2007) | Reference Offset:  ['28484-28792'] | Reference Text:  Importantly, our experiments have revealed hitherto unappreciated roles for Oct4 for firstly, regulating chromatin structure in a state consistent with self-renewal and pluripotency, and secondly, facilitating the expression of genes that keeps the cell poised to respond to cues that lead to differentiation | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1405_TRAIN | Citance Number: 11 | Reference Article:  Campbell.txt | Citing Article:  Zuccotti,Merico.txt | Citation Marker Offset:  11160-11162 | Citation Marker:  36 | Citation Offset:  11021-11215 | Citation Text:  Oct-4-dependent transcriptional networks have been described regulating self-renewal and pluripotency in human [33,34,43,44] and mouse [32,36] ES and EC cells and in human mesenchymal cells [44] | Reference Offset:  ['2960-3147', '14329-14580'] | Reference Text:  However, the transcriptional networks and molecular mechanisms that regulate the formation, self-renewal, and differentiation of hESC and mouse ESC (mESC) remain at best poorly understood ... Further examination of these directly regulated target genes in the context of the correlated gene-list reveals important insights into how Oct4 regulates pivotal pathways involved in controlling pluripotency, self-renewal and early lineage commitment | Discourse Facet:  Hypothesis_Citation | Annotator:  G, |

Topic ID: D1405_TRAIN | Citance Number: 12 | Reference Article:  Campbell.txt | Citing Article:  Zuccotti,Merico.txt | Citation Marker Offset:  8808-8810 | Citation Marker:  36 | Citation Offset:  8605-8811 | Citation Text:  Additional studies using microarray analysis of gene transcription in ES cells, have described Oct-4 involvement in the regulation of chromatin modelling and chromatin-mediated transcription regulation [36] | Reference Offset:  ['15387-15463'] | Reference Text:  Thirty five genes implicated in chromatin remodeling were correlated to Oct4 | Discourse Facet:  Results_Citation | Annotator:  G, |

Topic ID: D1405_TRAIN | Citance Number: 13 | Reference Article:  Campbell.txt | Citing Article:  Zuccotti.txt | Citation Marker Offset:  13427-13429 | Citation Marker:  32 | Citation Offset:  13273-13567 | Citation Text:  Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs [32] (Figure (Figure5)5) and 44 genes for which a direct or indirect action of OCT4 on their expression will need to be further investigated | Reference Offset:  ['29008-29265'] | Reference Text:  Finally, we have identified 26 direct Oct4 transcriptional targets which may represent candidate regulatory nodes by which cell fate decisions could be directed to facilitate the use of hESCs in therapeutic and regenerative medicine (Figure 4A and Table S2) | Discourse Facet:  Implication_Citation | Annotator:  G, |

Topic ID: D1405_TRAIN | Citance Number: 14 | Reference Article:  Campbell.txt | Citing Article:  Zuccotti.txt | Citation Marker Offset:  15024-15026 | Citation Marker:  32 | Citation Offset:  14874-15031 | Citation Text:  Almost half (37] of the Oct4-OETN genes are known Oct4 companions in ESCs, as their expression is directly regulated by [5,27,28] or correlated with [32]Oct4 | Reference Offset:  ['11985-12162', '12164-12291'] | Reference Text:  Categories highly represented within the negatively correlated genes included transcriptional regulation, protein modification, transport, intracellular signaling, and apoptosis ... A summary of these findings is provided in Figure 2 with representative genes in highly enriched categories provided in Table 1 | Discourse Facet:  Results_Citation | Annotator:  G, |

